s,kg/m2/s
Time,"MLR"
 0.0000000E+000, 0.0000000E+000
 1.0100000E+001, 8.9719496E-013
 2.0000000E+001, 3.1889766E-008
 3.0000000E+001, 8.1633257E-006
 4.0000000E+001, 5.7336208E-004
 5.0000000E+001, 3.7134685E-003
 6.0000000E+001, 7.0489498E-003
 7.0000000E+001, 9.2179741E-003
 8.0100000E+001, 1.0666730E-002
 9.0100000E+001, 1.1723474E-002
 1.0010000E+002, 1.2548778E-002
 1.1010000E+002, 1.3233497E-002
 1.2010000E+002, 1.3826607E-002
 1.3010000E+002, 1.4357422E-002
 1.4010000E+002, 1.4842658E-002
 1.5010000E+002, 1.5291462E-002
 1.6010000E+002, 1.5708248E-002
 1.7010000E+002, 1.6094364E-002
 1.8010000E+002, 1.6449181E-002
 1.9010000E+002, 1.6770448E-002
 2.0010000E+002, 1.7055171E-002
 2.1010000E+002, 1.7299451E-002
 2.2010000E+002, 1.7498516E-002
 2.3010000E+002, 1.7647043E-002
 2.4010000E+002, 1.7739140E-002
 2.5010000E+002, 1.7769409E-002
 2.6010000E+002, 1.7736365E-002
 2.7010000E+002, 1.7654715E-002
 2.8010000E+002, 1.7680353E-002
 2.9010000E+002, 1.7881445E-002
 3.0010000E+002, 1.7881246E-002
 3.1000000E+002, 1.7759243E-002
 3.2000000E+002, 1.7544750E-002
 3.3000000E+002, 1.7316416E-002
 3.4000000E+002, 1.7333673E-002
 3.5000000E+002, 1.7202321E-002
 3.6000000E+002, 1.6983542E-002
 3.7000000E+002, 1.6844440E-002
 3.8000000E+002, 1.6579359E-002
 3.9000000E+002, 1.6235178E-002
 4.0000000E+002, 1.5759612E-002
 4.1000000E+002, 1.5095922E-002
 4.2000000E+002, 1.4117962E-002
 4.3000000E+002, 1.2485382E-002
 4.4000000E+002, 9.1262371E-003
 4.5000000E+002, 2.4172615E-003
 4.6000000E+002, 3.9539198E-006
 4.7000000E+002, 7.1908480E-013
 4.8000000E+002, 1.6266326E-020
 4.9000000E+002, 0.0000000E+000
 5.0000000E+002, 0.0000000E+000
 5.1000000E+002, 0.0000000E+000
 5.2000000E+002, 0.0000000E+000
 5.3000000E+002, 0.0000000E+000
 5.4000000E+002, 0.0000000E+000
 5.5000000E+002, 0.0000000E+000
 5.6000000E+002, 0.0000000E+000
 5.7000000E+002, 0.0000000E+000
 5.8000000E+002, 0.0000000E+000
 5.9000000E+002, 0.0000000E+000
 6.0000000E+002, 0.0000000E+000
 6.1000000E+002, 0.0000000E+000
 6.2000000E+002, 0.0000000E+000
 6.3000000E+002, 0.0000000E+000
 6.4000000E+002, 0.0000000E+000
 6.5000000E+002, 0.0000000E+000
 6.6000000E+002, 0.0000000E+000
 6.7000000E+002, 0.0000000E+000
 6.8000000E+002, 0.0000000E+000
 6.9000000E+002, 0.0000000E+000
 7.0000000E+002, 0.0000000E+000
