s,kg/m2/s
Time,"MLR"
 0.0000000E+000, 0.0000000E+000
 1.0100000E+001, 1.0638501E-009
 2.0000000E+001, 7.4074510E-008
 3.0000000E+001, 1.6457633E-006
 4.0000000E+001, 4.0985289E-005
 5.0000000E+001, 3.9932013E-004
 6.0000000E+001, 1.6641608E-003
 7.0000000E+001, 3.4584335E-003
 8.0100000E+001, 4.9114995E-003
 9.0100000E+001, 5.9094805E-003
 1.0010000E+002, 6.5960058E-003
 1.1010000E+002, 7.0992169E-003
 1.2010000E+002, 7.7110596E-003
 1.3010000E+002, 8.1982742E-003
 1.4010000E+002, 8.6524943E-003
 1.5010000E+002, 9.0997741E-003
 1.6010000E+002, 9.3034845E-003
 1.7010000E+002, 9.6761312E-003
 1.8010000E+002, 1.0233975E-002
 1.9010000E+002, 1.0683079E-002
 2.0010000E+002, 1.0981605E-002
 2.1010000E+002, 1.0850317E-002
 2.2010000E+002, 1.1407228E-002
 2.3010000E+002, 1.1765660E-002
 2.4010000E+002, 1.1943123E-002
 2.5010000E+002, 1.1741205E-002
 2.6010000E+002, 1.2219085E-002
 2.7010000E+002, 1.2492216E-002
 2.8010000E+002, 1.2434338E-002
 2.9010000E+002, 1.2456668E-002
 3.0010000E+002, 1.2813815E-002
 3.1000000E+002, 1.3016907E-002
 3.2000000E+002, 1.2739941E-002
 3.3000000E+002, 1.3052160E-002
 3.4000000E+002, 1.3371329E-002
 3.5000000E+002, 1.3483169E-002
 3.6000000E+002, 1.3577999E-002
 3.7000000E+002, 1.4098527E-002
 3.8000000E+002, 1.4437385E-002
 3.9000000E+002, 1.4196305E-002
 4.0000000E+002, 1.4700588E-002
 4.1000000E+002, 1.4971733E-002
 4.2000000E+002, 1.4686996E-002
 4.3000000E+002, 1.5039337E-002
 4.4000000E+002, 1.5225435E-002
 4.5000000E+002, 1.4869260E-002
 4.6000000E+002, 1.5140313E-002
 4.7000000E+002, 1.5274794E-002
 4.8000000E+002, 1.4865656E-002
 4.9000000E+002, 1.5080090E-002
 5.0000000E+002, 1.5143537E-002
 5.1000000E+002, 1.4659079E-002
 5.2000000E+002, 1.4857281E-002
 5.3000000E+002, 1.4906031E-002
 5.4000000E+002, 1.4384512E-002
 5.5000000E+002, 1.4528700E-002
 5.6000000E+002, 1.4487495E-002
 5.7000000E+002, 1.3844755E-002
 5.8000000E+002, 1.3978365E-002
 5.9000000E+002, 1.3911393E-002
 6.0000000E+002, 1.3277576E-002
 6.1000000E+002, 1.3261889E-002
 6.2000000E+002, 1.3036744E-002
 6.3000000E+002, 1.2156862E-002
 6.4000000E+002, 1.2096239E-002
 6.5000000E+002, 1.1860081E-002
 6.6000000E+002, 1.1018063E-002
 6.7000000E+002, 1.0736683E-002
 6.8000000E+002, 1.0331441E-002
 6.9000000E+002, 9.3827290E-003
 7.0000000E+002, 9.0948780E-003
 7.1000000E+002, 8.8211444E-003
 7.2000000E+002, 8.3123815E-003
 7.3000000E+002, 8.0219932E-003
 7.4000000E+002, 7.7410318E-003
 7.5000000E+002, 7.0191991E-003
 7.6000000E+002, 5.1456229E-003
 7.7000000E+002, 4.5031693E-003
 7.8000000E+002, 3.7928827E-003
 7.9000000E+002, 2.9557480E-003
 8.0000000E+002, 2.0934197E-003
 8.1000000E+002, 1.2950043E-003
 8.2000000E+002, 2.3220021E-004
 8.3000000E+002, 3.1701120E-010
 8.4000000E+002, 0.0000000E+000
 8.5000000E+002, 0.0000000E+000
 8.6000000E+002, 0.0000000E+000
 8.7000000E+002, 0.0000000E+000
 8.8000000E+002, 0.0000000E+000
 8.9000000E+002, 0.0000000E+000
 9.0000000E+002, 0.0000000E+000
