s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0047431E+000, 1.1721891E-001
 2.0101140E+000, 2.7854392E-002
 3.0070351E+000, 3.2088212E-002
 4.0004933E+000, 3.3469296E-002
 5.0042633E+000, 3.6550578E-002
 6.0065471E+000, 5.3387203E-002
 7.0089664E+000, 4.8629118E-002
 8.0003485E+000, 9.0690029E-002
 9.0021463E+000, 7.2414640E-002
 1.0000402E+001, 1.1384109E-001
 1.1004178E+001, 1.4575985E-001
 1.2002332E+001, 2.5972362E-002
 1.3003016E+001, 2.5000000E-002
 1.4000182E+001, 3.1892993E-002
 1.5008592E+001, 7.5000000E-002
 1.6006126E+001, 7.5358139E-002
 1.7006276E+001, 9.6630292E-002
 1.8004382E+001, 1.3902187E-001
 1.9004024E+001, 1.3584629E-001
 2.0003586E+001, 2.1474637E-001
 2.1001064E+001, 2.1696562E-001
 2.2001951E+001, 3.1750478E-001
 2.3002879E+001, 2.8692392E-001
 2.4005519E+001, 3.9046682E-001
 2.5001834E+001, 3.7795854E-001
 2.6002435E+001, 4.2357975E-001
 2.7003124E+001, 5.2893620E-001
 2.8001643E+001, 5.4825424E-001
 2.9005432E+001, 6.4014636E-001
 3.0002624E+001, 6.7958962E-001
 3.1001434E+001, 7.4123501E-001
 3.2001568E+001, 9.2168769E-001
 3.3003834E+001, 1.1482208E+000
 3.4000780E+001, 9.2688228E-001
 3.5002985E+001, 9.5340023E-001
 3.6002580E+001, 1.1279621E+000
 3.7005589E+001, 1.0767942E+000
 3.8003945E+001, 1.1978027E+000
 3.9004151E+001, 1.6426542E+000
 4.0000995E+001, 1.6484203E+000
 4.1001517E+001, 1.6926412E+000
 4.2001691E+001, 1.9173006E+000
 4.3000686E+001, 2.1920380E+000
 4.4003991E+001, 2.2085013E+000
 4.5002949E+001, 2.2141289E+000
 4.6000940E+001, 2.0070963E+000
 4.7003384E+001, 2.1378642E+000
 4.8005392E+001, 2.2328932E+000
 4.9005191E+001, 2.3711923E+000
 5.0003444E+001, 2.3648715E+000
 5.1001370E+001, 2.5238380E+000
 5.2002600E+001, 2.8207084E+000
 5.3003595E+001, 2.5953355E+000
 5.4001921E+001, 2.7142520E+000
 5.5001617E+001, 2.7399560E+000
 5.6002441E+001, 2.8666759E+000
 5.7001210E+001, 3.0983378E+000
 5.8002844E+001, 3.3207694E+000
 5.9002088E+001, 3.1813051E+000
 6.0000830E+001, 3.4191030E+000
 6.1001763E+001, 3.2846856E+000
 6.2001689E+001, 3.5045104E+000
 6.3002609E+001, 3.4429705E+000
 6.4004337E+001, 3.5275717E+000
 6.5005400E+001, 3.7558951E+000
 6.6003447E+001, 3.7364507E+000
 6.7000545E+001, 3.7979849E+000
 6.8000075E+001, 4.0192585E+000
 6.9003944E+001, 3.9593400E+000
 7.0002476E+001, 4.2018615E+000
 7.1000085E+001, 4.3487669E+000
 7.2002509E+001, 4.5493879E+000
 7.3002270E+001, 4.6280901E+000
 7.4001048E+001, 4.5504719E+000
 7.5003910E+001, 4.7925958E+000
 7.6002943E+001, 4.5985858E+000
 7.7004282E+001, 4.7006817E+000
 7.8002090E+001, 4.9564125E+000
 7.9000909E+001, 5.0594182E+000
 8.0004672E+001, 4.9264031E+000
 8.1004718E+001, 4.9887618E+000
 8.2000804E+001, 5.2386920E+000
 8.3005960E+001, 5.3297417E+000
 8.4005339E+001, 5.2516541E+000
 8.5004682E+001, 5.3517588E+000
 8.6001111E+001, 5.4811281E+000
 8.7001437E+001, 5.7552268E+000
 8.8003097E+001, 5.7215348E+000
 8.9005420E+001, 5.7632667E+000
 9.0005586E+001, 5.6117159E+000
 9.1002111E+001, 6.0199145E+000
 9.2004712E+001, 5.8807975E+000
 9.3002993E+001, 6.1548889E+000
 9.4002016E+001, 6.0535238E+000
 9.5003413E+001, 6.0235309E+000
 9.6001988E+001, 6.2619685E+000
 9.7002824E+001, 6.2641359E+000
 9.8000123E+001, 6.3848076E+000
 9.9000667E+001, 6.4685733E+000
 1.0000237E+002, 6.5979971E+000
 1.0100308E+002, 6.6731602E+000
 1.0200489E+002, 6.8131801E+000
 1.0300006E+002, 6.9453463E+000
 1.0400216E+002, 6.8875937E+000
 1.0500302E+002, 7.0859904E+000
 1.0600351E+002, 7.0021684E+000
 1.0700102E+002, 7.2609853E+000
 1.0800233E+002, 7.5227927E+000
 1.0900093E+002, 7.5582472E+000
 1.1000600E+002, 7.5979661E+000
 1.1100358E+002, 7.7025689E+000
 1.1200707E+002, 7.5022747E+000
 1.1300710E+002, 7.5875830E+000
 1.1400242E+002, 7.6516850E+000
 1.1500736E+002, 7.7697079E+000
 1.1600019E+002, 7.8278283E+000
 1.1700241E+002, 7.8595477E+000
 1.1800883E+002, 7.8910550E+000
 1.1900602E+002, 7.7532407E+000
 1.2000320E+002, 7.7291667E+000
 1.2100039E+002, 7.9699074E+000
 1.2200681E+002, 7.6740826E+000
 1.2300399E+002, 7.7356481E+000
 1.2400118E+002, 7.1490741E+000
 1.2500760E+002, 7.3883028E+000
 1.2600478E+002, 6.6347222E+000
 1.2700197E+002, 7.5555556E+000
 1.2800838E+002, 7.6410550E+000
 1.2900557E+002, 7.8828704E+000
 1.3000000E+002, 7.8242588E+000
