s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0242848E+000, 3.4807001E-001
 2.0002862E+000, 2.5000000E-002
 3.0002832E+000, 2.5000000E-002
 4.0034133E+000, 2.5000000E-002
 5.0025390E+000, 2.5000000E-002
 6.0022712E+000, 2.5000000E-002
 7.0037773E+000, 2.5000000E-002
 8.0001116E+000, 6.4281213E-002
 9.0026316E+000, 9.0850351E-002
 1.0003362E+001, 1.1588694E-001
 1.1004874E+001, 1.8034278E-001
 1.2001020E+001, 8.8767213E-002
 1.3004115E+001, 1.6237720E-001
 1.4000310E+001, 2.1579054E-001
 1.5000456E+001, 2.4438462E-001
 1.6004210E+001, 2.8098109E-001
 1.7004142E+001, 3.6322998E-001
 1.8003089E+001, 3.9586037E-001
 1.9000871E+001, 4.2763547E-001
 2.0001629E+001, 4.7495167E-001
 2.1001380E+001, 5.1310210E-001
 2.2000079E+001, 6.1409694E-001
 2.3002022E+001, 6.3556262E-001
 2.4001570E+001, 7.0256415E-001
 2.5002675E+001, 7.6754458E-001
 2.6004166E+001, 8.4080543E-001
 2.7001008E+001, 9.0551067E-001
 2.8002237E+001, 9.8002615E-001
 2.9003493E+001, 1.0577901E+000
 3.0003611E+001, 1.1389133E+000
 3.1002874E+001, 1.2147228E+000
 3.2003646E+001, 1.2548894E+000
 3.3001580E+001, 1.3156272E+000
 3.4003292E+001, 1.3709440E+000
 3.5002328E+001, 1.4475477E+000
 3.6003008E+001, 1.5131421E+000
 3.7001453E+001, 1.6033515E+000
 3.8003390E+001, 1.6895535E+000
 3.9004831E+001, 1.7631218E+000
 4.0003686E+001, 1.8264653E+000
 4.1001757E+001, 1.9044538E+000
 4.2000871E+001, 1.9774252E+000
 4.3000215E+001, 2.0463629E+000
 4.4000088E+001, 2.1128647E+000
 4.5002899E+001, 2.1857367E+000
 4.6000166E+001, 2.2442040E+000
 4.7002114E+001, 2.3097654E+000
 4.8000613E+001, 2.3820393E+000
 4.9004184E+001, 2.4461563E+000
 5.0001825E+001, 2.5124594E+000
 5.1002774E+001, 2.5808516E+000
 5.2003145E+001, 2.6507239E+000
 5.3002772E+001, 2.7017013E+000
 5.4002549E+001, 2.7783916E+000
 5.5003152E+001, 2.8444562E+000
 5.6002452E+001, 2.8963241E+000
 5.7001466E+001, 2.9744925E+000
 5.8002963E+001, 3.0563253E+000
 5.9004651E+001, 3.1179061E+000
 6.0003829E+001, 3.1860507E+000
 6.1002518E+001, 3.2497008E+000
 6.2004463E+001, 3.3121449E+000
 6.3001453E+001, 3.3782384E+000
 6.4004525E+001, 3.4539836E+000
 6.5001221E+001, 3.5088147E+000
 6.6002429E+001, 3.5729757E+000
 6.7004052E+001, 3.6411276E+000
 6.8002168E+001, 3.7042869E+000
 6.9000637E+001, 3.7650417E+000
 7.0003180E+001, 3.8366286E+000
 7.1002848E+001, 3.8990023E+000
 7.2000308E+001, 3.9715735E+000
 7.3001007E+001, 4.0591189E+000
 7.4002240E+001, 4.0744307E+000
 7.5004203E+001, 4.1180437E+000
 7.6003865E+001, 4.2040308E+000
 7.7001689E+001, 4.2869448E+000
 7.8004858E+001, 4.3594132E+000
 7.9005297E+001, 4.4445964E+000
 8.0000520E+001, 4.4714449E+000
 8.1004548E+001, 4.5337822E+000
 8.2002600E+001, 4.6032600E+000
 8.3002898E+001, 4.6531778E+000
 8.4003594E+001, 4.7352667E+000
 8.5002908E+001, 4.8064513E+000
 8.6004369E+001, 4.8603256E+000
 8.7003929E+001, 4.9098395E+000
 8.8001024E+001, 4.9773626E+000
 8.9000699E+001, 5.0717049E+000
 9.0001477E+001, 5.1200419E+000
 9.1001521E+001, 5.2031630E+000
 9.2005439E+001, 5.2410926E+000
