s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0093828E+000, 1.9079556E-001
 2.0066834E+000, 2.5000000E-002
 3.0116885E+000, 2.5000000E-002
 4.0021621E+000, 6.0004424E-002
 5.0008711E+000, 3.7700286E-002
 6.0002552E+000, 6.3893709E-002
 7.0034830E+000, 6.8857684E-002
 8.0018041E+000, 7.5000000E-002
 9.0068949E+000, 7.5000000E-002
 1.0000732E+001, 7.5000000E-002
 1.1001316E+001, 4.1033201E-001
 1.2000253E+001, 7.7562350E-001
 1.3002867E+001, 8.4072356E-001
 1.4001022E+001, 8.2126905E-001
 1.5004699E+001, 9.5870792E-001
 1.6007087E+001, 1.0930973E+000
 1.7005093E+001, 1.2849406E+000
 1.8000421E+001, 1.5021734E+000
 1.9001476E+001, 1.6583623E+000
 2.0004839E+001, 1.8503280E+000
 2.1004357E+001, 1.9309007E+000
 2.2002397E+001, 2.2187845E+000
 2.3000041E+001, 2.4196363E+000
 2.4000377E+001, 2.5858016E+000
 2.5002359E+001, 2.8199892E+000
 2.6005882E+001, 3.0148718E+000
 2.7001869E+001, 3.2137422E+000
 2.8002937E+001, 3.3457014E+000
 2.9002851E+001, 3.5209406E+000
 3.0004425E+001, 3.6587582E+000
 3.1006536E+001, 3.8469087E+000
 3.2001027E+001, 4.0276921E+000
 3.3006096E+001, 4.1640393E+000
 3.4002572E+001, 4.3147154E+000
 3.5003154E+001, 4.4677378E+000
 3.6000312E+001, 4.6364180E+000
 3.7002643E+001, 4.8091013E+000
 3.8004571E+001, 4.9932923E+000
 3.9003697E+001, 5.1580580E+000
 4.0003818E+001, 5.2942725E+000
 4.1004971E+001, 5.4819093E+000
 4.2003929E+001, 5.6415961E+000
 4.3002381E+001, 5.7907797E+000
 4.4004119E+001, 5.9572474E+000
 4.5002333E+001, 6.1358368E+000
 4.6005434E+001, 6.3311989E+000
 4.7002507E+001, 6.5456998E+000
 4.8002111E+001, 6.7002781E+000
 4.9005237E+001, 6.8856851E+000
 5.0003866E+001, 7.0595838E+000
 5.1002203E+001, 7.2403780E+000
 5.2004637E+001, 7.3989773E+000
 5.3003422E+001, 7.5713173E+000
 5.4002661E+001, 7.7217909E+000
 5.5003405E+001, 7.9013167E+000
 5.6004303E+001, 7.9737766E+000
 5.7007881E+001, 7.9750000E+000
 5.8007373E+001, 7.9595329E+000
 5.9007129E+001, 7.8912259E+000
 6.0000848E+001, 7.6073017E+000
 6.1002054E+001, 7.2848612E+000
 6.2005684E+001, 7.0127330E+000
 6.3000800E+001, 7.3199708E+000
 6.4002074E+001, 7.5750000E+000
 6.5002317E+001, 7.5750000E+000
 6.6002014E+001, 6.7570707E+000
 6.7000719E+001, 6.9446667E+000
 6.8000078E+001, 7.4057107E+000
 6.9002857E+001, 6.4462284E+000
 7.0002597E+001, 7.5250000E+000
 7.1000580E+001, 6.2054148E+000
 7.2000160E+001, 6.8812635E+000
 7.3001801E+001, 7.4303394E+000
 7.4000915E+001, 7.4250000E+000
 7.5000322E+001, 7.1214983E+000
 7.6000000E+001, 6.8423368E+000
