s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0299290E+000, 3.5737883E-001
 2.0264051E+000, 2.5000000E-002
 3.0014792E+000, 2.5000000E-002
 4.0035205E+000, 2.5000000E-002
 5.0010784E+000, 2.5000000E-002
 6.0047722E+000, 2.5000000E-002
 7.0019975E+000, 2.5000000E-002
 8.0030220E+000, 2.5000000E-002
 9.0021785E+000, 2.5000000E-002
 1.0000982E+001, 2.5000000E-002
 1.1004908E+001, 2.5000000E-002
 1.2007992E+001, 2.5000000E-002
 1.3001998E+001, 2.5000000E-002
 1.4002178E+001, 2.5000000E-002
 1.5005435E+001, 2.5000000E-002
 1.6006592E+001, 5.1809096E-002
 1.7005520E+001, 2.5000000E-002
 1.8006256E+001, 2.5000000E-002
 1.9001158E+001, 5.2663831E-002
 2.0003755E+001, 9.4777364E-002
 2.1005324E+001, 7.5000000E-002
 2.2000978E+001, 9.0793607E-002
 2.3006490E+001, 1.4252747E-001
 2.4004962E+001, 7.5000000E-002
 2.5004247E+001, 9.0667021E-002
 2.6000287E+001, 1.9249032E-001
 2.7007243E+001, 1.3187341E-001
 2.8007351E+001, 1.2500000E-001
 2.9005691E+001, 2.3356887E-001
 3.0008324E+001, 1.7500000E-001
 3.1005594E+001, 1.7500000E-001
 3.2007285E+001, 2.7152287E-001
 3.3001215E+001, 2.2500000E-001
 3.4003962E+001, 2.2500000E-001
 3.5000251E+001, 3.1586383E-001
 3.6000922E+001, 2.7500000E-001
 3.7001025E+001, 2.8583466E-001
 3.8008135E+001, 3.5599389E-001
 3.9002757E+001, 3.2500000E-001
 4.0001299E+001, 3.3361612E-001
 4.1004414E+001, 4.1358309E-001
 4.2002594E+001, 3.7500000E-001
 4.3001882E+001, 3.7729524E-001
 4.4002550E+001, 4.5644506E-001
 4.5001039E+001, 4.2500000E-001
 4.6002822E+001, 4.5492261E-001
 4.7004186E+001, 5.1477269E-001
 4.8004484E+001, 4.7500000E-001
 4.9000597E+001, 5.4826255E-001
 5.0002420E+001, 5.4177550E-001
 5.1000909E+001, 5.2500000E-001
 5.2001424E+001, 5.7011427E-001
 5.3005815E+001, 5.7500000E-001
 5.4003198E+001, 6.0668342E-001
 5.5001849E+001, 6.5897074E-001
 5.6005422E+001, 6.2686547E-001
 5.7005938E+001, 6.8090805E-001
 5.8002920E+001, 6.7631243E-001
 5.9005711E+001, 6.7500000E-001
 6.0001235E+001, 7.6194536E-001
 6.1004463E+001, 7.4371616E-001
 6.2004113E+001, 7.4545061E-001
 6.3000568E+001, 8.0642548E-001
 6.4005667E+001, 7.7500000E-001
 6.5003925E+001, 8.0541747E-001
 6.6006366E+001, 8.4471574E-001
 6.7002468E+001, 8.2500000E-001
 6.8003942E+001, 9.1313134E-001
 6.9002478E+001, 8.7500000E-001
 7.0002968E+001, 8.8033717E-001
 7.1005720E+001, 9.2415919E-001
 7.2005582E+001, 9.2500000E-001
 7.3005961E+001, 9.5197660E-001
 7.4000865E+001, 9.7779836E-001
 7.5001788E+001, 9.7532727E-001
 7.6004050E+001, 1.0292431E+000
 7.7000434E+001, 1.0250000E+000
 7.8001912E+001, 1.0269044E+000
 7.9003354E+001, 1.1101329E+000
 8.0005654E+001, 1.0750000E+000
 8.1004623E+001, 1.1118426E+000
 8.2006709E+001, 1.1250000E+000
 8.3000481E+001, 1.1250000E+000
 8.4003001E+001, 1.2053524E+000
 8.5001499E+001, 1.1750000E+000
 8.6004162E+001, 1.1848993E+000
 8.7000127E+001, 1.2250000E+000
 8.8002675E+001, 1.2250000E+000
 8.9000548E+001, 1.2268791E+000
 9.0000893E+001, 1.2782402E+000
 9.1003564E+001, 1.2750000E+000
 9.2002595E+001, 1.3181803E+000
