s,m
Time,"x"
 0.0000000E+000, 1.2500000E-002
 1.0162050E+000, 1.9160130E-001
 2.0029981E+000, 3.7467383E-002
 3.0042276E+000, 8.1142469E-002
 4.0009685E+000, 1.1759938E-001
 5.0038944E+000, 1.3637179E-001
 6.0035525E+000, 9.9849406E-002
 7.0023199E+000, 9.1714564E-002
 8.0028875E+000, 1.5169047E-001
 9.0005454E+000, 2.2447736E-001
 1.0000732E+001, 2.6348230E-001
 1.1001048E+001, 3.5558248E-001
 1.2001672E+001, 4.2684653E-001
 1.3003111E+001, 4.8988921E-001
 1.4003141E+001, 5.5328931E-001
 1.5000084E+001, 6.4144646E-001
 1.6001140E+001, 7.3816931E-001
 1.7002275E+001, 8.5050738E-001
 1.8000966E+001, 9.2511018E-001
 1.9001908E+001, 1.0311444E+000
 2.0002616E+001, 1.1083333E+000
 2.1002697E+001, 1.1886317E+000
 2.2002590E+001, 1.2844964E+000
 2.3002209E+001, 1.3836427E+000
 2.4002306E+001, 1.4669461E+000
 2.5002806E+001, 1.5610324E+000
 2.6003941E+001, 1.6389994E+000
 2.7002299E+001, 1.7424608E+000
 2.8002830E+001, 1.8172120E+000
 2.9001381E+001, 1.9187794E+000
 3.0003102E+001, 1.9827997E+000
 3.1002828E+001, 2.0555888E+000
 3.2000813E+001, 2.1417948E+000
 3.3003248E+001, 2.2045938E+000
 3.4002447E+001, 2.2660383E+000
 3.5001152E+001, 2.3162571E+000
 3.6000539E+001, 2.4089575E+000
 3.7000974E+001, 2.4679016E+000
 3.8003755E+001, 2.5527551E+000
 3.9000583E+001, 2.6289791E+000
 4.0000755E+001, 2.7267689E+000
 4.1000627E+001, 2.7935124E+000
 4.2003273E+001, 2.8643008E+000
 4.3001484E+001, 2.9548235E+000
 4.4002512E+001, 3.0382057E+000
 4.5002663E+001, 3.0974359E+000
 4.6001699E+001, 3.1781602E+000
 4.7002966E+001, 3.2622545E+000
 4.8001930E+001, 3.3270651E+000
 4.9002860E+001, 3.4113762E+000
 5.0002557E+001, 3.4643984E+000
 5.1000929E+001, 3.5533639E+000
 5.2001688E+001, 3.6277897E+000
 5.3000009E+001, 3.6913158E+000
 5.4003161E+001, 3.7577866E+000
 5.5000747E+001, 3.8331759E+000
 5.6000410E+001, 3.9119457E+000
 5.7001120E+001, 3.9734945E+000
 5.8002970E+001, 4.0495866E+000
 5.9000212E+001, 4.1290210E+000
 6.0003345E+001, 4.2082458E+000
 6.1002757E+001, 4.2823218E+000
 6.2001615E+001, 4.3614078E+000
 6.3001251E+001, 4.4319583E+000
 6.4002305E+001, 4.4924170E+000
 6.5003374E+001, 4.5564517E+000
 6.6000837E+001, 4.6212896E+000
 6.7001293E+001, 4.6973097E+000
 6.8000315E+001, 4.7584002E+000
 6.9002544E+001, 4.8145850E+000
 7.0001313E+001, 4.8948139E+000
 7.1002710E+001, 4.9664998E+000
 7.2000202E+001, 5.0422631E+000
 7.3000394E+001, 5.1150589E+000
 7.4000623E+001, 5.1830817E+000
 7.5002484E+001, 5.2646597E+000
 7.6003049E+001, 5.3390094E+000
 7.7002427E+001, 5.4055314E+000
 7.8003074E+001, 5.4665634E+000
 7.9003773E+001, 5.5375118E+000
 8.0002582E+001, 5.5982580E+000
 8.1000420E+001, 5.6642263E+000
 8.2003187E+001, 5.7434355E+000
 8.3002754E+001, 5.8171566E+000
 8.4001075E+001, 5.8919420E+000
 8.5000881E+001, 5.9574892E+000
 8.6002070E+001, 6.0291880E+000
 8.7002815E+001, 6.1017609E+000
 8.8001684E+001, 6.1648521E+000
 8.9002411E+001, 6.2300819E+000
 9.0001822E+001, 6.3112630E+000
 9.1000933E+001, 6.3796426E+000
 9.2001474E+001, 6.4348411E+000
 9.3002064E+001, 6.4954275E+000
 9.4001890E+001, 6.5700867E+000
 9.5000008E+001, 6.6492815E+000
 9.6002542E+001, 6.7109057E+000
 9.7003345E+001, 6.7660061E+000
 9.8000833E+001, 6.8402758E+000
 9.9001377E+001, 6.9012315E+000
 1.0000080E+002, 6.9610610E+000
 1.0100264E+002, 7.0216238E+000
 1.0200012E+002, 7.0960655E+000
 1.0300110E+002, 7.1886389E+000
 1.0400111E+002, 7.2484564E+000
 1.0500268E+002, 7.3072015E+000
 1.0600032E+002, 7.3621161E+000
 1.0700303E+002, 7.4124885E+000
 1.0800057E+002, 7.4622975E+000
 1.0900324E+002, 7.5084727E+000
 1.1000369E+002, 7.5814610E+000
 1.1100149E+002, 7.6578765E+000
 1.1200192E+002, 7.7050459E+000
 1.1300265E+002, 7.7585273E+000
 1.1400203E+002, 7.8252727E+000
 1.1500174E+002, 7.8965597E+000
 1.1600204E+002, 7.9314003E+000
 1.1700397E+002, 7.8210292E+000
 1.1800453E+002, 7.6817718E+000
 1.1900194E+002, 7.6280596E+000
 1.2000000E+002, 7.6396393E+000
