s,m
Time,x
 0.0000000E+000, 2.5000000E-002
 1.0004242E+000, 1.6787607E-001
 2.0016084E+000, 2.9925562E-002
 3.0036948E+000, 2.5000000E-002
 4.0092494E+000, 2.5000000E-002
 5.0030666E+000, 2.5000000E-002
 6.0055038E+000, 2.5000000E-002
 7.0020863E+000, 2.5000000E-002
 8.0044015E+000, 2.5000000E-002
 9.0001965E+000, 2.5000000E-002
 1.0006618E+001, 4.4792803E-002
 1.1005141E+001, 1.1352054E-001
 1.2005515E+001, 2.9880295E-001
 1.3000801E+001, 3.6533222E-002
 1.4002099E+001, 2.5000000E-002
 1.5000217E+001, 4.0159925E-002
 1.6004575E+001, 5.8081377E-002
 1.7005195E+001, 7.5000000E-002
 1.8002804E+001, 7.5000000E-002
 1.9002978E+001, 9.2957941E-002
 2.0002813E+001, 1.3056949E-001
 2.1005495E+001, 1.2500000E-001
 2.2003750E+001, 1.3653639E-001
 2.3000777E+001, 1.7500000E-001
 2.4003242E+001, 1.7500000E-001
 2.5001780E+001, 1.8558761E-001
 2.6005703E+001, 2.2500000E-001
 2.7004707E+001, 2.5016557E-001
 2.8001181E+001, 2.8938361E-001
 2.9005183E+001, 2.9325837E-001
 3.0005021E+001, 2.7500000E-001
 3.1005793E+001, 2.7500000E-001
 3.2004562E+001, 4.0496759E-001
 3.3003996E+001, 3.9176966E-001
 3.4006385E+001, 3.4472668E-001
 3.5005344E+001, 4.5406971E-001
 3.6001106E+001, 4.0015082E-001
 3.7000904E+001, 6.6789675E-001
 3.8004250E+001, 6.6708983E-001
 3.9002964E+001, 4.6606981E-001
 4.0000661E+001, 7.3624539E-001
 4.1002092E+001, 7.5740478E-001
 4.2001316E+001, 6.2449149E-001
 4.3002953E+001, 8.6934081E-001
 4.4000919E+001, 8.5835732E-001
 4.5004390E+001, 9.9384635E-001
 4.6004576E+001, 8.4509816E-001
 4.7002012E+001, 8.5941380E-001
 4.8001392E+001, 1.0627868E+000
 4.9005135E+001, 9.9932432E-001
 5.0002316E+001, 1.2381100E+000
 5.1000069E+001, 1.1605382E+000
 5.2002415E+001, 1.3003238E+000
 5.3001665E+001, 1.1455177E+000
 5.4003211E+001, 1.6599418E+000
 5.5001443E+001, 1.0523333E+000
 5.6002107E+001, 1.3987293E+000
 5.7002121E+001, 1.5654061E+000
 5.8000079E+001, 1.9112114E+000
 5.9000373E+001, 2.0780731E+000
 6.0003534E+001, 1.9739449E+000
 6.1002908E+001, 2.0005816E+000
 6.2003744E+001, 2.3784370E+000
 6.3003240E+001, 1.9145987E+000
 6.4000637E+001, 2.2752266E+000
 6.5000536E+001, 2.2166311E+000
 6.6003956E+001, 2.3663074E+000
 6.7002771E+001, 2.4125131E+000
 6.8003460E+001, 2.4870367E+000
 6.9003559E+001, 2.8105846E+000
 7.0004188E+001, 2.2497172E+000
 7.1000537E+001, 2.2078244E+000
 7.2002494E+001, 2.5018110E+000
 7.3000202E+001, 2.2754063E+000
 7.4003295E+001, 2.7231249E+000
 7.5001931E+001, 2.7642517E+000
 7.6003147E+001, 2.6715701E+000
 7.7004031E+001, 3.0547962E+000
 7.8001897E+001, 2.8515584E+000
 7.9000918E+001, 2.6770008E+000
 8.0003132E+001, 3.1142987E+000
 8.1002179E+001, 3.3993506E+000
 8.2002077E+001, 2.8745675E+000
 8.3004210E+001, 3.3208010E+000
 8.4000627E+001, 3.2064025E+000
 8.5001626E+001, 3.4117885E+000
 8.6003591E+001, 3.2685995E+000
 8.7003463E+001, 3.2128025E+000
 8.8003190E+001, 3.0672170E+000
 8.9002117E+001, 3.0945628E+000
 9.0000240E+001, 3.3889435E+000
 9.1003788E+001, 3.2159261E+000
 9.2005505E+001, 3.3618812E+000
