s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0179518E+000, 1.0785101E-001, 1.0785101E-001, 1.0000000E+000
 2.0076553E+000, 8.6093010E-002, 8.6093010E-002, 1.0000000E+000
 3.0021537E+000, 7.9069340E-002, 7.9069340E-002, 1.0000000E+000
 4.0015933E+000, 8.2828398E-002, 8.2828398E-002, 1.0000000E+000
 5.0098012E+000, 7.8488664E-002, 7.8488664E-002, 1.0000000E+000
 6.0004637E+000, 8.4821696E-002, 8.4821696E-002, 1.0000000E+000
 7.0016769E+000, 7.8595086E-002, 7.8595086E-002, 1.0000000E+000
 8.0049599E+000, 7.6314063E-002, 7.6314063E-002, 1.0000000E+000
 9.0011627E+000, 9.0659872E-002, 9.0659872E-002, 1.0000000E+000
 1.0002893E+001, 1.0052972E-001, 1.0052972E-001, 1.0000000E+000
 1.1004972E+001, 9.1872431E-002, 9.1872431E-002, 1.0000000E+000
 1.2003436E+001, 1.2197105E-001, 1.2197105E-001, 1.0000000E+000
 1.3000126E+001, 1.6110586E-001, 1.6110586E-001, 1.0000000E+000
 1.4002218E+001, 1.6207284E-001, 1.6207284E-001, 1.0000000E+000
 1.5003752E+001, 1.7121557E-001, 1.7121557E-001, 1.0000000E+000
 1.6002440E+001, 1.8069710E-001, 1.8069710E-001, 1.0000000E+000
 1.7003217E+001, 2.0055515E-001, 2.0055515E-001, 1.0000000E+000
 1.8003743E+001, 1.7993049E-001, 1.7993049E-001, 1.0000000E+000
 1.9004609E+001, 1.9779136E-001, 1.9779136E-001, 1.0000000E+000
 2.0001535E+001, 1.6663531E-001, 1.6663531E-001, 1.0000000E+000
 2.1003300E+001, 1.8601177E-001, 1.8601177E-001, 1.0000000E+000
 2.2002531E+001, 2.2753204E-001, 2.2753204E-001, 1.0000000E+000
 2.3002749E+001, 2.9892858E-001, 2.9892858E-001, 1.0000000E+000
 2.4002034E+001, 3.9852847E-001, 3.9852847E-001, 1.0000000E+000
 2.5004126E+001, 6.3920781E-001, 6.3920781E-001, 1.0000000E+000
 2.6003749E+001, 5.0590331E-001, 5.0590331E-001, 1.0000000E+000
 2.7003960E+001, 4.5839582E-001, 4.5839582E-001, 1.0000000E+000
 2.8000111E+001, 8.1668077E-001, 8.1668077E-001, 1.0000000E+000
 2.9002065E+001, 1.0718684E+000, 1.0718684E+000, 1.0000000E+000
 3.0000458E+001, 1.0599866E+000, 1.0599866E+000, 1.0000000E+000
 3.1002805E+001, 1.0001256E+000, 1.0001256E+000, 1.0000000E+000
