s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0170610E+000, 3.6158414E-001
 2.0016049E+000, 2.5000000E-002
 3.0022565E+000, 2.5000000E-002
 4.0009362E+000, 2.5000000E-002
 5.0004405E+000, 2.5000000E-002
 6.0008732E+000, 2.5000000E-002
 7.0072470E+000, 2.5000000E-002
 8.0071537E+000, 2.5000000E-002
 9.0011914E+000, 2.5000000E-002
 1.0001247E+001, 2.5000000E-002
 1.1005418E+001, 2.5000000E-002
 1.2000867E+001, 2.5000000E-002
 1.3001526E+001, 2.5000000E-002
 1.4001377E+001, 2.5000000E-002
 1.5000830E+001, 2.5000000E-002
 1.6000753E+001, 2.5000000E-002
 1.7006239E+001, 3.6483552E-002
 1.8005941E+001, 7.5000000E-002
 1.9003941E+001, 7.5000000E-002
 2.0005143E+001, 7.5000000E-002
 2.1006037E+001, 1.0063312E-001
 2.2005170E+001, 1.2500000E-001
 2.3005351E+001, 1.2500000E-001
 2.4000215E+001, 1.5349060E-001
 2.5006684E+001, 1.7500000E-001
 2.6001868E+001, 1.7758162E-001
 2.7004915E+001, 2.2500000E-001
 2.8003443E+001, 2.2500000E-001
 2.9003940E+001, 2.5933713E-001
 3.0005531E+001, 2.7500000E-001
 3.1002787E+001, 2.8919930E-001
 3.2002530E+001, 3.2500000E-001
 3.3003992E+001, 3.3459861E-001
 3.4005486E+001, 3.7400921E-001
 3.5003440E+001, 4.3607198E-001
 3.6004061E+001, 4.2608782E-001
 3.7001064E+001, 4.8008681E-001
 3.8004105E+001, 4.7500000E-001
 3.9001495E+001, 5.3998456E-001
 4.0002790E+001, 5.2883854E-001
 4.1001741E+001, 5.7500000E-001
 4.2004274E+001, 5.9105807E-001
 4.3004473E+001, 6.2524661E-001
 4.4001935E+001, 6.8185781E-001
 4.5001470E+001, 7.6896541E-001
 4.6004832E+001, 7.4407231E-001
 4.7002113E+001, 7.7500000E-001
 4.8003881E+001, 8.0507713E-001
 4.9003778E+001, 8.2972114E-001
 5.0004152E+001, 8.9000900E-001
 5.1000894E+001, 9.8818448E-001
 5.2001814E+001, 9.6961077E-001
 5.3001699E+001, 9.8338446E-001
 5.4002782E+001, 1.0250000E+000
 5.5002589E+001, 1.0740269E+000
 5.6000407E+001, 1.1233925E+000
 5.7003050E+001, 1.1287043E+000
 5.8004704E+001, 1.1750000E+000
 5.9003630E+001, 1.2180018E+000
 6.0002963E+001, 1.2468840E+000
 6.1004682E+001, 1.2750000E+000
 6.2001134E+001, 1.3092201E+000
 6.3001918E+001, 1.3518725E+000
 6.4003784E+001, 1.3745348E+000
 6.5001203E+001, 1.4031208E+000
 6.6001006E+001, 1.4369765E+000
 6.7000393E+001, 1.5025202E+000
 6.8002166E+001, 1.5228973E+000
 6.9002402E+001, 1.5591712E+000
 7.0003658E+001, 1.5805352E+000
 7.1001677E+001, 1.6203871E+000
 7.2005213E+001, 1.6529762E+000
 7.3004229E+001, 1.6917422E+000
 7.4000067E+001, 1.7518492E+000
 7.5001701E+001, 1.7655065E+000
 7.6000388E+001, 1.7978070E+000
 7.7004496E+001, 1.8263097E+000
 7.8000943E+001, 1.8760916E+000
 7.9001948E+001, 1.9157648E+000
 8.0001792E+001, 1.9410255E+000
 8.1000877E+001, 2.0093609E+000
 8.2002478E+001, 2.0250000E+000
 8.3000466E+001, 2.0553689E+000
 8.4001654E+001, 2.0909467E+000
 8.5001788E+001, 2.1250000E+000
 8.6001983E+001, 2.1593836E+000
 8.7001509E+001, 2.1939841E+000
 8.8003160E+001, 2.2385902E+000
 8.9002352E+001, 2.2770069E+000
 9.0001407E+001, 2.3247491E+000
 9.1004406E+001, 2.3584743E+000
 9.2003277E+001, 2.3989749E+000
