s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0063810E+000, 2.0286011E-001
 2.0023817E+000, 2.5000000E-002
 3.0015317E+000, 2.5000000E-002
 4.0163700E+000, 2.5000000E-002
 5.0134042E+000, 2.5000000E-002
 6.0104383E+000, 2.5000000E-002
 7.0090617E+000, 6.6977074E-002
 8.0046942E+000, 7.5000000E-002
 9.0005213E+000, 8.1250000E-002
 1.0009873E+001, 4.9698890E-002
 1.1001213E+001, 3.5658599E-002
 1.2009411E+001, 1.0308034E-001
 1.3004006E+001, 2.4805191E-001
 1.4002154E+001, 3.5662638E-001
 1.5005809E+001, 4.1564983E-001
 1.6005532E+001, 4.5313881E-001
 1.7001381E+001, 5.1740266E-001
 1.8007355E+001, 5.5710582E-001
 1.9008635E+001, 6.0223430E-001
 2.0006288E+001, 6.4033333E-001
 2.1003252E+001, 7.0217051E-001
 2.2011003E+001, 7.6610930E-001
 2.3001299E+001, 8.0877031E-001
 2.4010107E+001, 8.4710415E-001
 2.5003833E+001, 8.8101972E-001
 2.6006319E+001, 9.1703703E-001
 2.7006827E+001, 9.4055184E-001
 2.8008219E+001, 9.7500000E-001
 2.9002243E+001, 1.0135153E+000
 3.0011655E+001, 1.0305565E+000
 3.1007213E+001, 1.0538732E+000
 3.2002771E+001, 1.0806338E+000
 3.3002188E+001, 1.1482682E+000
 3.4003604E+001, 1.1969080E+000
 3.5013194E+001, 1.2429687E+000
 3.6007010E+001, 1.2107143E+000
 3.7016600E+001, 1.2403906E+000
 3.8005683E+001, 1.2328947E+000
 3.9012119E+001, 1.2077586E+000
 4.0001202E+001, 1.2811404E+000
 4.1007638E+001, 1.2612069E+000
 4.2014976E+001, 1.2256951E+000
 4.3009984E+001, 1.3043103E+000
 4.4004993E+001, 1.3129310E+000
 4.5000002E+001, 1.2741379E+000
 4.6012166E+001, 1.2656780E+000
 4.7007175E+001, 1.3267241E+000
 4.8002184E+001, 1.2327586E+000
 4.9014348E+001, 1.3351695E+000
 5.0009357E+001, 1.3525862E+000
 5.1004366E+001, 1.3431034E+000
 5.2016530E+001, 1.4139831E+000
 5.3011539E+001, 1.4025862E+000
 5.4006548E+001, 1.4275862E+000
 5.5001557E+001, 1.4344828E+000
 5.6013721E+001, 1.4190678E+000
 5.7008730E+001, 1.1224138E+000
 5.8003738E+001, 1.0318966E+000
 5.9015903E+001, 1.0766949E+000
 6.0010912E+001, 7.7586207E-001
 6.1005920E+001, 1.1379310E+000
 6.2000929E+001, 1.0844828E+000
 6.3013093E+001, 1.4250000E+000
 6.4002780E+001, 1.2227892E+000
 6.5001307E+001, 1.1021186E+000
 6.6016759E+001, 9.7083333E-001
 6.7015287E+001, 1.0682203E+000
 6.8013815E+001, 1.1250000E+000
 6.9012343E+001, 1.1944915E+000
 7.0010871E+001, 1.1038136E+000
 7.1009398E+001, 1.1478814E+000
 7.2007926E+001, 9.7754237E-001
 7.3006454E+001, 9.9194915E-001
 7.4004982E+001, 9.8093220E-001
 7.5003510E+001, 9.9110169E-001
 7.6002038E+001, 8.3008475E-001
 7.7000565E+001, 8.5635593E-001
 7.8016017E+001, 8.7166667E-001
 7.9014545E+001, 8.6144068E-001
 8.0013073E+001, 9.2923729E-001
 8.1011601E+001, 9.7500000E-001
 8.2010129E+001, 9.9703390E-001
 8.3008656E+001, 9.9110169E-001
 8.4007184E+001, 9.7500000E-001
 8.5005712E+001, 9.7754237E-001
 8.6004240E+001, 9.7500000E-001
 8.7002768E+001, 1.0012712E+000
 8.8001296E+001, 9.8686441E-001
 8.9016748E+001, 1.0133333E+000
 9.0015275E+001, 7.8093220E-001
 9.1013803E+001, 9.7584746E-001
 9.2012331E+001, 9.7500000E-001
