s,m
Time,x
 0.0000000E+000, 2.5000000E-002
 1.0140088E+000, 3.8636364E-001
 2.0116741E+000, 2.5000000E-002
 3.0045785E+000, 2.5000000E-002
 4.0029337E+000, 2.5000000E-002
 5.0047627E+000, 2.5000000E-002
 6.0010075E+000, 2.5000000E-002
 7.0011901E+000, 2.5000000E-002
 8.0031440E+000, 2.5000000E-002
 9.0027295E+000, 2.5000000E-002
 1.0002485E+001, 2.5000000E-002
 1.1000027E+001, 2.5000000E-002
 1.2005411E+001, 2.5000000E-002
 1.3000423E+001, 2.5000000E-002
 1.4003860E+001, 2.5000000E-002
 1.5004331E+001, 2.5000000E-002
 1.6001322E+001, 3.7066856E-002
 1.7000404E+001, 6.9217412E-002
 1.8004153E+001, 5.4568121E-002
 1.9003284E+001, 2.5000000E-002
 2.0000809E+001, 6.7061980E-002
 2.1002947E+001, 7.7839904E-002
 2.2002427E+001, 8.0913474E-002
 2.3002730E+001, 6.9453879E-002
 2.4004506E+001, 8.9488827E-002
 2.5001127E+001, 9.2256176E-002
 2.6002121E+001, 1.2660650E-001
 2.7001936E+001, 1.0748575E-001
 2.8003136E+001, 8.5983041E-002
 2.9000500E+001, 1.6490482E-001
 3.0002872E+001, 1.7418026E-001
 3.1005377E+001, 1.8543121E-001
 3.2004129E+001, 1.6135518E-001
 3.3000265E+001, 1.9048607E-001
 3.4000230E+001, 2.2068421E-001
 3.5002752E+001, 2.3398405E-001
 3.6000969E+001, 2.2331009E-001
 3.7003019E+001, 2.7500000E-001
 3.8001271E+001, 2.7500000E-001
 3.9000931E+001, 2.8005917E-001
 4.0001489E+001, 2.8741473E-001
 4.1003743E+001, 2.8001028E-001
 4.2002387E+001, 3.1632809E-001
 4.3004398E+001, 3.1546319E-001
 4.4002092E+001, 3.3000911E-001
 4.5001461E+001, 3.2500000E-001
 4.6000130E+001, 3.3151698E-001
 4.7001046E+001, 3.7475896E-001
 4.8000175E+001, 3.4743070E-001
 4.9003809E+001, 3.8821648E-001
 5.0000160E+001, 3.4650920E-001
 5.1002065E+001, 3.9291254E-001
 5.2003446E+001, 4.2314133E-001
 5.3001543E+001, 4.0739618E-001
 5.4004286E+001, 4.4402144E-001
 5.5002630E+001, 3.7637869E-001
 5.6001602E+001, 4.3303033E-001
 5.7004304E+001, 4.7166421E-001
 5.8000698E+001, 4.9041236E-001
 5.9002417E+001, 4.4862065E-001
 6.0004257E+001, 4.3529195E-001
 6.1000575E+001, 4.8289753E-001
 6.2003696E+001, 5.2953740E-001
 6.3004083E+001, 5.4683702E-001
 6.4003123E+001, 5.0209268E-001
 6.5003029E+001, 5.1085172E-001
 6.6000005E+001, 5.4614906E-001
 6.7002786E+001, 5.9531974E-001
 6.8000756E+001, 5.4185510E-001
 6.9000942E+001, 5.5490971E-001
 7.0003825E+001, 5.7374500E-001
 7.1000957E+001, 6.3134957E-001
 7.2000093E+001, 6.4449195E-001
 7.3001907E+001, 5.8334744E-001
 7.4002956E+001, 6.0578143E-001
 7.5003659E+001, 6.7787180E-001
 7.6003705E+001, 6.8093411E-001
 7.7002746E+001, 6.4150076E-001
 7.8002544E+001, 6.5859819E-001
 7.9000181E+001, 7.1247933E-001
 8.0002381E+001, 7.2091141E-001
 8.1001240E+001, 7.1646378E-001
 8.2003463E+001, 6.9786178E-001
 8.3002922E+001, 7.1091402E-001
 8.4002747E+001, 7.7138279E-001
 8.5002295E+001, 7.9482848E-001
 8.6003496E+001, 7.3564348E-001
 8.7000414E+001, 7.5361189E-001
 8.8002656E+001, 7.9071519E-001
 8.9002694E+001, 7.7382841E-001
 9.0002692E+001, 8.2305930E-001
 9.1003252E+001, 7.9288284E-001
 9.2001725E+001, 8.2335876E-001
