s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0189433E+000, 3.4976363E-001
 2.0033009E+000, 2.5000000E-002
 3.0099038E+000, 2.5000000E-002
 4.0033713E+000, 2.5000000E-002
 5.0023823E+000, 2.5000000E-002
 6.0057069E+000, 2.5000000E-002
 7.0022603E+000, 2.5000000E-002
 8.0101858E+000, 2.5000000E-002
 9.0026741E+000, 2.5000000E-002
 1.0004473E+001, 2.5000000E-002
 1.1009966E+001, 2.5000000E-002
 1.2002405E+001, 2.5000000E-002
 1.3008519E+001, 2.5000000E-002
 1.4003946E+001, 2.5000000E-002
 1.5006190E+001, 2.5000000E-002
 1.6000898E+001, 2.5000000E-002
 1.7009842E+001, 2.5000000E-002
 1.8006402E+001, 2.5000000E-002
 1.9008603E+001, 2.5000000E-002
 2.0004203E+001, 2.5000000E-002
 2.1010891E+001, 2.5000000E-002
 2.2008597E+001, 2.5000000E-002
 2.3008515E+001, 2.5000000E-002
 2.4008861E+001, 2.5000000E-002
 2.5003668E+001, 2.5000000E-002
 2.6000914E+001, 2.5000000E-002
 2.7004563E+001, 2.5000000E-002
 2.8007614E+001, 2.5000000E-002
 2.9008572E+001, 2.5000000E-002
 3.0002326E+001, 2.5000000E-002
 3.1006189E+001, 2.5000000E-002
 3.2004014E+001, 2.5000000E-002
 3.3004058E+001, 2.5000000E-002
 3.4003162E+001, 2.5000000E-002
 3.5001111E+001, 2.5000000E-002
 3.6006700E+001, 2.5000000E-002
 3.7007520E+001, 2.5000000E-002
 3.8004603E+001, 2.5000000E-002
 3.9001516E+001, 2.5000000E-002
 4.0006360E+001, 2.5000000E-002
 4.1004862E+001, 2.5000000E-002
 4.2011820E+001, 2.5000000E-002
 4.3014713E+001, 2.5000000E-002
 4.4003824E+001, 2.5000000E-002
 4.5011808E+001, 2.5000000E-002
 4.6010237E+001, 2.5000000E-002
 4.7010419E+001, 2.5000000E-002
 4.8020059E+001, 2.5000000E-002
 4.9016211E+001, 4.3085106E-002
 5.0012364E+001, 7.5000000E-002
 5.1008516E+001, 7.5000000E-002
 5.2019587E+001, 7.5000000E-002
 5.3011918E+001, 7.5000000E-002
 5.4018534E+001, 7.5000000E-002
 5.5002781E+001, 7.5000000E-002
 5.6013336E+001, 7.5000000E-002
 5.7000155E+001, 7.5000000E-002
 5.8004564E+001, 7.5000000E-002
 5.9002664E+001, 7.5000000E-002
 6.0009883E+001, 6.7207816E-002
 6.1018967E+001, 7.5000000E-002
 6.2005628E+001, 7.5000000E-002
 6.3026821E+001, 7.5000000E-002
 6.4015255E+001, 7.5000000E-002
 6.5011201E+001, 7.2560976E-002
 6.6009577E+001, 7.5000000E-002
 6.7024957E+001, 6.3157895E-002
 6.8001299E+001, 6.1316009E-002
 6.9023635E+001, 6.1250000E-002
 7.0007633E+001, 4.3441558E-002
 7.1019745E+001, 7.5000000E-002
 7.2003743E+001, 7.5000000E-002
 7.3021478E+001, 7.5000000E-002
 7.4010540E+001, 7.5000000E-002
 7.5029885E+001, 7.5000000E-002
 7.6013297E+001, 7.5000000E-002
 7.7029239E+001, 7.5000000E-002
 7.8015300E+001, 7.5000000E-002
 7.9001361E+001, 7.5000000E-002
 8.0017303E+001, 7.5000000E-002
 8.1003363E+001, 7.5000000E-002
 8.2016317E+001, 7.5000000E-002
 8.3019157E+001, 7.5000000E-002
 8.4010501E+001, 7.5000000E-002
 8.5003161E+001, 7.5000000E-002
 8.6012738E+001, 7.5000000E-002
 8.7023930E+001, 7.5000000E-002
 8.8026576E+001, 7.5000000E-002
 8.9029223E+001, 7.5000000E-002
 9.0000537E+001, 7.5000000E-002
 9.1003184E+001, 7.5000000E-002
 9.2005831E+001, 7.5000000E-002
