s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0093750E+000, 1.0558572E-001, 1.0558572E-001, 1.0000000E+000
 2.0027258E+000, 1.1502927E-001, 1.1502927E-001, 1.0000000E+000
 3.0100207E+000, 1.4230001E-001, 1.4230001E-001, 1.0000000E+000
 4.0057611E+000, 1.5185572E-001, 1.5185572E-001, 1.0000000E+000
 5.0052348E+000, 1.5462520E-001, 1.5462520E-001, 1.0000000E+000
 6.0071028E+000, 1.5097104E-001, 1.5097104E-001, 1.0000000E+000
 7.0039140E+000, 1.4675032E-001, 1.4675032E-001, 1.0000000E+000
 8.0076644E+000, 1.4865122E-001, 1.4865122E-001, 1.0000000E+000
 9.0023300E+000, 1.3888506E-001, 1.3888506E-001, 1.0000000E+000
 1.0006260E+001, 1.4233981E-001, 1.4233981E-001, 1.0000000E+000
 1.1001875E+001, 1.3137713E-001, 1.3137713E-001, 1.0000000E+000
 1.2004914E+001, 1.2470058E-001, 1.2470058E-001, 1.0000000E+000
 1.3006129E+001, 1.4261977E-001, 1.4261977E-001, 1.0000000E+000
 1.4003315E+001, 1.5604526E-001, 1.5604526E-001, 1.0000000E+000
 1.5003818E+001, 1.5916334E-001, 1.5916334E-001, 1.0000000E+000
 1.6003482E+001, 1.8241897E-001, 1.8241897E-001, 1.0000000E+000
 1.7004286E+001, 1.6349191E-001, 1.6349191E-001, 1.0000000E+000
 1.8000021E+001, 1.5884058E-001, 1.5884058E-001, 1.0000000E+000
 1.9005734E+001, 1.6823625E-001, 1.6823625E-001, 1.0000000E+000
 2.0004395E+001, 1.7251568E-001, 1.7251568E-001, 1.0000000E+000
 2.1000545E+001, 1.8191467E-001, 1.8191467E-001, 1.0000000E+000
 2.2004578E+001, 2.1504839E-001, 2.1504839E-001, 1.0000000E+000
 2.3004100E+001, 1.9536507E-001, 1.9536507E-001, 1.0000000E+000
 2.4003502E+001, 1.6844474E-001, 1.6844474E-001, 1.0000000E+000
 2.5002385E+001, 1.8087407E-001, 1.8087407E-001, 1.0000000E+000
 2.6003540E+001, 2.4662816E-001, 2.4662816E-001, 1.0000000E+000
 2.7004093E+001, 2.6880932E-001, 2.6880932E-001, 1.0000000E+000
 2.8005205E+001, 2.6701532E-001, 2.6701532E-001, 1.0000000E+000
 2.9001532E+001, 3.0007663E-001, 3.0007663E-001, 1.0000000E+000
 3.0004729E+001, 3.8375821E-001, 3.8375821E-001, 1.0000000E+000
 3.1001237E+001, 3.4351135E-001, 3.4351135E-001, 1.0000000E+000
