s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0041580E+000, 3.5454545E-001
 2.0226914E+000, 2.5000000E-002
 3.0135125E+000, 2.6878671E-002
 4.0210368E+000, 6.4311656E-002
 5.0161150E+000, 5.4855072E-002
 6.0226640E+000, 6.4844579E-002
 7.0109556E+000, 7.8219753E-002
 8.0043284E+000, 6.7189647E-002
 9.0097874E+000, 7.3368927E-002
 1.0007315E+001, 6.8744264E-002
 1.1002203E+001, 4.2146365E-002
 1.2012335E+001, 5.7218680E-002
 1.3006614E+001, 4.6072852E-002
 1.4005124E+001, 3.4035307E-002
 1.5006574E+001, 3.2357723E-002
 1.6004959E+001, 2.9535242E-002
 1.7001100E+001, 2.5000000E-002
 1.8007918E+001, 3.5986218E-002
 1.9005632E+001, 3.5532151E-002
 2.0009451E+001, 3.7991003E-002
 2.1007038E+001, 4.3795214E-002
 2.2003677E+001, 4.0861187E-002
 2.3007869E+001, 2.8887835E-002
 2.4001640E+001, 2.7222845E-002
 2.5000340E+001, 3.6263887E-002
 2.6007282E+001, 3.9330871E-002
 2.7005949E+001, 6.2915619E-002
 2.8004061E+001, 5.7876354E-002
 2.9000743E+001, 6.1680550E-002
 3.0006162E+001, 6.4546026E-002
 3.1007890E+001, 5.7325748E-002
 3.2005104E+001, 6.4463332E-002
 3.3008033E+001, 4.4471250E-002
 3.4003058E+001, 1.0523651E-001
 3.5000341E+001, 1.2500000E-001
 3.6004014E+001, 1.2500000E-001
 3.7000917E+001, 1.2196457E-001
 3.8003647E+001, 1.1247219E-001
 3.9003426E+001, 9.7535554E-002
 4.0002131E+001, 9.3759899E-002
 4.1003993E+001, 8.9792103E-002
 4.2003448E+001, 8.7001814E-002
 4.3002306E+001, 8.0122257E-002
 4.4003978E+001, 5.5558102E-002
 4.5002138E+001, 5.4479037E-002
 4.6006152E+001, 4.4072819E-002
 4.7001435E+001, 5.8431883E-002
 4.8009780E+001, 7.2333434E-002
 4.9006098E+001, 7.7522249E-002
 5.0005695E+001, 1.1949373E-001
 5.1001419E+001, 1.6716399E-001
 5.2000655E+001, 1.6218712E-001
 5.3003913E+001, 1.6279024E-001
 5.4004776E+001, 1.6037850E-001
 5.5001826E+001, 1.5838691E-001
 5.6005569E+001, 1.7168760E-001
 5.7003664E+001, 1.7189329E-001
 5.8003485E+001, 1.5086338E-001
 5.9006246E+001, 2.5000000E-002
 6.0006284E+001, 2.5000000E-002
 6.1002912E+001, 2.5000000E-002
 6.2002732E+001, 7.1190817E-002
 6.3005141E+001, 1.7200292E-001
 6.4000729E+001, 1.8290882E-001
 6.5005363E+001, 1.6865952E-001
 6.6005350E+001, 3.0805076E-002
 6.7007017E+001, 2.5000000E-002
 6.8003108E+001, 2.5000000E-002
 6.9007172E+001, 2.5000000E-002
 7.0002084E+001, 2.5000000E-002
 7.1006707E+001, 2.5000000E-002
 7.2002189E+001, 2.5000000E-002
 7.3002328E+001, 2.5000000E-002
 7.4005126E+001, 2.5000000E-002
 7.5005267E+001, 2.5000000E-002
 7.6002662E+001, 2.5000000E-002
 7.7000553E+001, 2.5000000E-002
 7.8003335E+001, 2.5000000E-002
 7.9000603E+001, 2.5000000E-002
 8.0002697E+001, 2.5000000E-002
 8.1000881E+001, 2.5000000E-002
 8.2001644E+001, 2.9153769E-002
 8.3006264E+001, 3.5474243E-002
 8.4003087E+001, 2.5000000E-002
 8.5004758E+001, 7.3353293E-002
 8.6000971E+001, 7.5000000E-002
 8.7001101E+001, 7.5000000E-002
 8.8000432E+001, 7.5000000E-002
 8.9003245E+001, 7.5000000E-002
 9.0003883E+001, 7.5000000E-002
 9.1003366E+001, 7.5000000E-002
 9.2003899E+001, 7.5000000E-002
