s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0110548E+000, 1.3863636E-001
 2.0079796E+000, 1.0810632E-001
 3.0067281E+000, 1.0811985E-001
 4.0079546E+000, 1.0765974E-001
 5.0076384E+000, 1.1350575E-001
 6.0073221E+000, 1.0373563E-001
 7.0054095E+000, 1.3225305E-001
 8.0060798E+000, 1.3049451E-001
 9.0020432E+000, 9.6988588E-002
 1.0003014E+001, 1.1708107E-001
 1.1010136E+001, 1.3129983E-001
 1.2006379E+001, 1.6003718E-001
 1.3005988E+001, 1.7949794E-001
 1.4004445E+001, 2.8089439E-001
 1.5006216E+001, 3.4464779E-001
 1.6001502E+001, 3.5495372E-001
 1.7004495E+001, 3.1584372E-001
 1.8002572E+001, 3.3293389E-001
 1.9005350E+001, 4.3681215E-001
 2.0002231E+001, 4.7236546E-001
 2.1006939E+001, 4.8136164E-001
 2.2008261E+001, 4.6632297E-001
 2.3008006E+001, 1.6859082E-001
 2.4002186E+001, 7.5000000E-002
 2.5006457E+001, 7.5000000E-002
 2.6007842E+001, 2.0793843E-001
 2.7005256E+001, 4.8548387E-001
 2.8002670E+001, 3.7782258E-001
 2.9006180E+001, 4.0704781E-001
 3.0003653E+001, 6.3272770E-001
 3.1000587E+001, 6.2729008E-001
 3.2005131E+001, 6.6704545E-001
 3.3004603E+001, 6.3769390E-001
 3.4003187E+001, 2.8345244E-001
 3.5002438E+001, 6.7985516E-001
 3.6005680E+001, 6.7073394E-001
 3.7000404E+001, 5.7465149E-001
 3.8001522E+001, 7.8878852E-001
 3.9001398E+001, 6.5410083E-001
 4.0000922E+001, 6.3116883E-001
 4.1001718E+001, 8.3142515E-001
 4.2003085E+001, 9.0703332E-001
 4.3004706E+001, 8.6976592E-001
 4.4000418E+001, 5.4620280E-001
 4.5001148E+001, 6.7529092E-001
 4.6005152E+001, 1.0400444E+000
 4.7003136E+001, 1.1079991E+000
 4.8003922E+001, 7.7341845E-001
 4.9004035E+001, 1.3271172E+000
 5.0003066E+001, 1.1022878E+000
 5.1003745E+001, 4.6036202E-001
 5.2000365E+001, 7.2807847E-001
 5.3002491E+001, 9.6074420E-001
 5.4000394E+001, 1.3043935E+000
 5.5002267E+001, 9.2126307E-001
 5.6000676E+001, 9.7267559E-001
 5.7003460E+001, 1.3578343E+000
 5.8000632E+001, 2.0668553E+000
 5.9001595E+001, 2.2129567E+000
 6.0003052E+001, 2.5087462E+000
 6.1000712E+001, 2.5228253E+000
 6.2000955E+001, 2.8777182E+000
 6.3001501E+001, 3.1591782E+000
 6.4000517E+001, 3.3310905E+000
 6.5001625E+001, 1.8780691E+000
 6.6001748E+001, 2.0954066E+000
 6.7000317E+001, 1.3470445E+000
 6.8003631E+001, 1.7715551E+000
 6.9001434E+001, 8.1021698E-001
 7.0001430E+001, 1.7115690E+000
 7.1000880E+001, 1.2253234E+000
 7.2004006E+001, 1.9146805E+000
 7.3001298E+001, 1.7280157E+000
 7.4002641E+001, 2.5525644E+000
 7.5000686E+001, 3.3352928E+000
 7.6000971E+001, 2.7839386E+000
 7.7000452E+001, 3.2207853E+000
 7.8001548E+001, 2.9326063E+000
 7.9003619E+001, 3.1350769E+000
 8.0003303E+001, 3.2043050E+000
 8.1004212E+001, 3.2778834E+000
 8.2001470E+001, 3.3049100E+000
 8.3000947E+001, 3.4527643E+000
 8.4001290E+001, 3.4945767E+000
 8.5000922E+001, 3.4911987E+000
 8.6003063E+001, 3.6196268E+000
 8.7003217E+001, 3.6989226E+000
 8.8002005E+001, 3.7914254E+000
 8.9000865E+001, 3.7258858E+000
 9.0003033E+001, 3.9005195E+000
 9.1003770E+001, 3.9701621E+000
 9.2005100E+001, 3.9776094E+000
