s,m
Time,"x"
 0.0000000E+000, 1.2500000E-002
 1.0026852E+000, 1.3398834E-001
 2.0022716E+000, 3.9650538E-002
 3.0028887E+000, 8.6561108E-002
 4.0004681E+000, 1.2862896E-001
 5.0001468E+000, 1.2628263E-001
 6.0000878E+000, 1.6150497E-001
 7.0016803E+000, 1.8352135E-001
 8.0003861E+000, 2.1655318E-001
 9.0002630E+000, 2.5022680E-001
 1.0000934E+001, 2.8687989E-001
 1.1000038E+001, 3.1920192E-001
 1.2001950E+001, 2.5162957E-001
 1.3003598E+001, 3.0700143E-001
 1.4002500E+001, 3.9160833E-002
 1.5003054E+001, 2.2035007E-001
 1.6001516E+001, 1.9511643E-001
 1.7002476E+001, 6.8385270E-002
 1.8001338E+001, 2.8006882E-001
 1.9001193E+001, 1.3638570E-001
 2.0003152E+001, 2.8695347E-001
 2.1001969E+001, 1.3606687E-001
 2.2002058E+001, 2.2725992E-001
 2.3000575E+001, 8.8328852E-002
 2.4002563E+001, 1.7605609E-001
 2.5005386E+001, 9.4149308E-002
 2.6002036E+001, 1.4739451E-001
 2.7000683E+001, 2.6468534E-001
 2.8000943E+001, 4.4299497E-001
 2.9001876E+001, 4.8178764E-001
 3.0002812E+001, 3.3683979E-001
 3.1003380E+001, 1.8998862E-001
 3.2004122E+001, 4.6037475E-001
 3.3001421E+001, 3.5556420E-001
 3.4004455E+001, 3.2267793E-001
 3.5004561E+001, 7.9740689E-002
 3.6003282E+001, 4.1553773E-001
 3.7000026E+001, 4.0138341E-001
 3.8001826E+001, 1.5626233E-001
 3.9002084E+001, 3.0897173E-001
 4.0003627E+001, 2.1829417E-001
 4.1000764E+001, 1.2814256E-002
 4.2003411E+001, 2.1085114E-001
 4.3001200E+001, 2.0815398E-001
 4.4005313E+001, 1.8407464E-002
 4.5003382E+001, 3.1561185E-002
 4.6002398E+001, 8.0950471E-002
 4.7004227E+001, 1.6135716E-002
 4.8000168E+001, 1.5128237E-002
 4.9001470E+001, 2.6010565E-002
 5.0000973E+001, 4.0960848E-002
 5.1002505E+001, 4.9148873E-002
 5.2004591E+001, 1.3103039E-002
 5.3002652E+001, 1.0367903E-001
 5.4000081E+001, 1.8912806E-001
 5.5000946E+001, 9.1445742E-002
 5.6004414E+001, 1.8623166E-001
 5.7002666E+001, 3.5160241E-001
 5.8001038E+001, 1.7864432E-001
 5.9003369E+001, 1.9597172E-001
 6.0001026E+001, 3.7841936E-001
 6.1001393E+001, 1.7325606E-001
 6.2003825E+001, 2.7104504E-001
 6.3002120E+001, 1.2383853E-001
 6.4003100E+001, 3.1834081E-001
 6.5000355E+001, 2.2891342E-001
 6.6002913E+001, 1.7952030E-001
 6.7003201E+001, 3.0725231E-001
 6.8002161E+001, 2.6516205E-001
 6.9001795E+001, 2.5365737E-001
 7.0000592E+001, 1.7616390E-001
 7.1003754E+001, 2.8006148E-001
 7.2003498E+001, 2.5515524E-001
 7.3003999E+001, 2.9043944E-001
 7.4003736E+001, 3.2612032E-001
 7.5004056E+001, 1.7138740E-001
 7.6001122E+001, 1.1695914E-001
 7.7003568E+001, 1.4765498E-001
 7.8002060E+001, 1.0270726E-001
 7.9001488E+001, 1.5820939E-001
 8.0002206E+001, 1.0528133E-001
 8.1002829E+001, 8.2530901E-002
 8.2000937E+001, 7.7216778E-002
 8.3000013E+001, 1.0035005E-001
 8.4000697E+001, 1.2500000E-002
 8.5001260E+001, 1.2500000E-002
 8.6000983E+001, 1.2929284E-002
 8.7002623E+001, 1.2500000E-002
 8.8001932E+001, 1.2500000E-002
 8.9000437E+001, 1.2500000E-002
 9.0002326E+001, 1.2500000E-002
 9.1000140E+001, 1.2500000E-002
