s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0079323E+000, 7.2126348E-002, 7.2126348E-002, 1.0000000E+000
 2.0009778E+000, 7.3941474E-002, 7.3941474E-002, 1.0000000E+000
 3.0081719E+000, 7.4615438E-002, 7.4615438E-002, 1.0000000E+000
 4.0031190E+000, 7.4858549E-002, 7.4858549E-002, 1.0000000E+000
 5.0025748E+000, 7.4948194E-002, 7.4948194E-002, 1.0000000E+000
 6.0042182E+000, 7.4981069E-002, 7.4981069E-002, 1.0000000E+000
 7.0058276E+000, 7.4993079E-002, 7.4993079E-002, 1.0000000E+000
 8.0021708E+000, 7.4997456E-002, 7.4997456E-002, 1.0000000E+000
 9.0000821E+000, 7.4999066E-002, 7.4999066E-002, 1.0000000E+000
 1.0002852E+001, 7.4999659E-002, 7.4999659E-002, 1.0000000E+000
 1.1001063E+001, 7.4999875E-002, 7.4999875E-002, 1.0000000E+000
 1.2000002E+001, 7.4999954E-002, 7.4999954E-002, 1.0000000E+000
 1.3006683E+001, 1.0190437E-001, 1.0190437E-001, 1.0000000E+000
 1.4003623E+001, 8.3651778E-002, 8.3651778E-002, 1.0000000E+000
 1.5000737E+001, 1.0797383E-001, 1.0797383E-001, 1.0000000E+000
 1.6006681E+001, 1.1879743E-001, 1.1879743E-001, 1.0000000E+000
 1.7007448E+001, 1.4885052E-001, 1.4885052E-001, 1.0000000E+000
 1.8001131E+001, 1.6535925E-001, 1.6535925E-001, 1.0000000E+000
 1.9005906E+001, 1.7148393E-001, 1.7148393E-001, 1.0000000E+000
 2.0000562E+001, 1.7370472E-001, 1.7370472E-001, 1.0000000E+000
 2.1008099E+001, 2.0329675E-001, 2.0329675E-001, 1.0000000E+000
 2.2001509E+001, 2.1699257E-001, 2.1699257E-001, 1.0000000E+000
 2.3006208E+001, 2.2207956E-001, 2.2207956E-001, 1.0000000E+000
 2.4003784E+001, 2.2392642E-001, 2.2392642E-001, 1.0000000E+000
 2.5002783E+001, 2.2460611E-001, 2.2460611E-001, 1.0000000E+000
 2.6007253E+001, 2.5576492E-001, 2.5576492E-001, 1.0000000E+000
 2.7000621E+001, 2.6790455E-001, 2.6790455E-001, 1.0000000E+000
 2.8000888E+001, 2.7240009E-001, 2.7240009E-001, 1.0000000E+000
 2.9000283E+001, 2.7404636E-001, 2.7404636E-001, 1.0000000E+000
 3.0004165E+001, 2.7465173E-001, 2.7465173E-001, 1.0000000E+000
 3.1003127E+001, 2.7487217E-001, 2.7487217E-001, 1.0000000E+000
