s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0052968E+000, 1.9378485E-001
 2.0168158E+000, 2.5000000E-002
 3.0041879E+000, 2.5000000E-002
 4.0104670E+000, 2.5000000E-002
 5.0004139E+000, 2.5000000E-002
 6.0063570E+000, 2.5000000E-002
 7.0096337E+000, 2.5000000E-002
 8.0004236E+000, 2.5000000E-002
 9.0061735E+000, 2.5000000E-002
 1.0010739E+001, 2.5000000E-002
 1.1008345E+001, 2.5000000E-002
 1.2002668E+001, 2.5000000E-002
 1.3000234E+001, 2.5000000E-002
 1.4001821E+001, 2.5000000E-002
 1.5002629E+001, 2.5000000E-002
 1.6002609E+001, 2.5000000E-002
 1.7001841E+001, 2.5000000E-002
 1.8006016E+001, 2.5000000E-002
 1.9000695E+001, 2.5000000E-002
 2.0007838E+001, 2.5000000E-002
 2.1000080E+001, 4.8512387E-001
 2.2002459E+001, 1.1228909E+000
 2.3007487E+001, 1.1277574E+000
 2.4001257E+001, 1.1073551E+000
 2.5004494E+001, 1.3535400E+000
 2.6007444E+001, 1.4394090E+000
 2.7000310E+001, 1.6400356E+000
 2.8001081E+001, 1.7726115E+000
 2.9002096E+001, 1.8632359E+000
 3.0001702E+001, 1.9570117E+000
 3.1007478E+001, 1.9618268E+000
 3.2004187E+001, 2.1195557E+000
 3.3003948E+001, 2.2037301E+000
 3.4007672E+001, 2.2983311E+000
 3.5004397E+001, 2.3644985E+000
 3.6003135E+001, 2.3313597E+000
 3.7006162E+001, 2.2721283E+000
 3.8000712E+001, 2.4169960E+000
 3.9000209E+001, 2.4924703E+000
 4.0003948E+001, 2.4447686E+000
 4.1002683E+001, 2.5509139E+000
 4.2001223E+001, 2.5502303E+000
 4.3000769E+001, 2.6187756E+000
 4.4003868E+001, 2.7566222E+000
 4.5007376E+001, 2.8155723E+000
 4.6001149E+001, 2.9594279E+000
 4.7003744E+001, 2.9256024E+000
 4.8000581E+001, 2.9000636E+000
 4.9003389E+001, 3.0170678E+000
 5.0003664E+001, 3.0804919E+000
 5.1002289E+001, 3.1246847E+000
 5.2000789E+001, 3.1045411E+000
 5.3001398E+001, 3.1730954E+000
 5.4000742E+001, 3.1993287E+000
 5.5002764E+001, 3.2484605E+000
 5.6002542E+001, 3.3737722E+000
 5.7002590E+001, 3.3704865E+000
 5.8001289E+001, 3.3960830E+000
 5.9001998E+001, 3.4606540E+000
 6.0001628E+001, 3.5588627E+000
 6.1000228E+001, 3.5354609E+000
 6.2002147E+001, 3.5943276E+000
 6.3002507E+001, 3.6939224E+000
 6.4001570E+001, 3.7137089E+000
 6.5002831E+001, 3.7713927E+000
 6.6002352E+001, 3.8606156E+000
 6.7001022E+001, 3.8418230E+000
 6.8001171E+001, 3.9330853E+000
 6.9002842E+001, 4.0022481E+000
 7.0002212E+001, 3.9810476E+000
 7.1000197E+001, 4.0474564E+000
 7.2001869E+001, 4.3198447E+000
 7.3001829E+001, 4.1128056E+000
 7.4002491E+001, 4.4577477E+000
 7.5000860E+001, 4.4051599E+000
 7.6000818E+001, 4.6334395E+000
 7.7001095E+001, 4.5263690E+000
 7.8002164E+001, 4.7081190E+000
 7.9002348E+001, 4.8177257E+000
 8.0001013E+001, 4.9495271E+000
 8.1000023E+001, 4.9648684E+000
 8.2001530E+001, 5.0962970E+000
 8.3000390E+001, 5.1135477E+000
 8.4000804E+001, 5.1874110E+000
 8.5000894E+001, 5.2751977E+000
 8.6002650E+001, 5.3780808E+000
 8.7000051E+001, 5.3542044E+000
 8.8002665E+001, 5.3628038E+000
 8.9003154E+001, 5.4954980E+000
 9.0001896E+001, 5.5643853E+000
 9.1003099E+001, 5.6458360E+000
 9.2003127E+001, 5.6705420E+000
