s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0007311E+000, 8.0716782E-002, 8.0716782E-002, 1.0000000E+000
 2.0077981E+000, 7.7077074E-002, 7.7077074E-002, 1.0000000E+000
 3.0013266E+000, 6.6214360E-002, 6.6214360E-002, 1.0000000E+000
 4.0000081E+000, 7.1779369E-002, 7.1779369E-002, 1.0000000E+000
 5.0064753E+000, 7.3828917E-002, 7.3828917E-002, 1.0000000E+000
 6.0031224E+000, 7.4569833E-002, 7.4569833E-002, 1.0000000E+000
 7.0030670E+000, 7.4842322E-002, 7.4842322E-002, 1.0000000E+000
 8.0008069E+000, 4.7527123E-002, 4.7527123E-002, 1.0000000E+000
 9.0036698E+000, 5.1520007E-002, 5.1520007E-002, 1.0000000E+000
 1.0004651E+001, 5.9856244E-002, 5.9856244E-002, 1.0000000E+000
 1.1004358E+001, 9.8724833E-002, 9.8724833E-002, 1.0000000E+000
 1.2001360E+001, 1.1533290E-001, 1.1533290E-001, 1.0000000E+000
 1.3001499E+001, 1.4679325E-001, 1.4679325E-001, 1.0000000E+000
 1.4004607E+001, 1.6468580E-001, 1.6468580E-001, 1.0000000E+000
 1.5003005E+001, 1.7121052E-001, 1.7121052E-001, 1.0000000E+000
 1.6004214E+001, 1.8571531E-001, 1.8571531E-001, 1.0000000E+000
 1.7002532E+001, 2.1056903E-001, 2.1056903E-001, 1.0000000E+000
 1.8003609E+001, 2.1971504E-001, 2.1971504E-001, 1.0000000E+000
 1.9000832E+001, 2.2305620E-001, 2.2305620E-001, 1.0000000E+000
 2.0006070E+001, 2.3227571E-001, 2.3227571E-001, 1.0000000E+000
 2.1001284E+001, 2.5925541E-001, 2.5925541E-001, 1.0000000E+000
 2.2002806E+001, 2.6273232E-001, 2.6273232E-001, 1.0000000E+000
 2.3000221E+001, 2.7048709E-001, 2.7048709E-001, 1.0000000E+000
 2.4004310E+001, 2.6245496E-001, 2.6245496E-001, 1.0000000E+000
 2.5003996E+001, 2.8218741E-001, 2.8218741E-001, 1.0000000E+000
 2.6005491E+001, 2.7836202E-001, 2.7836202E-001, 1.0000000E+000
 2.7001512E+001, 3.0781941E-001, 3.0781941E-001, 1.0000000E+000
 2.8001694E+001, 2.8139623E-001, 2.8139623E-001, 1.0000000E+000
 2.9002278E+001, 2.8253557E-001, 2.8253557E-001, 1.0000000E+000
 3.0002690E+001, 3.0942136E-001, 3.0942136E-001, 1.0000000E+000
 3.1002635E+001, 3.2362436E-001, 3.2362436E-001, 1.0000000E+000
