s,m
Time,x
 0.0000000E+000, 2.5000000E-002
 1.0067724E+000, 1.0947898E-001
 2.0077523E+000, 2.5417948E-002
 3.0054415E+000, 4.4649987E-002
 4.0010420E+000, 5.4714626E-002
 5.0068703E+000, 3.8368984E-002
 6.0038237E+000, 2.6854599E-002
 7.0038788E+000, 7.0962340E-002
 8.0016776E+000, 2.5000000E-002
 9.0049294E+000, 2.5000000E-002
 1.0005407E+001, 2.5000000E-002
 1.1001236E+001, 3.0769231E-002
 1.2000391E+001, 2.0455530E-001
 1.3006053E+001, 2.5000000E-002
 1.4005910E+001, 3.9293911E-002
 1.5001817E+001, 2.5000000E-002
 1.6001754E+001, 4.0368697E-002
 1.7005851E+001, 2.5000000E-002
 1.8006745E+001, 2.5000000E-002
 1.9004304E+001, 2.5000000E-002
 2.0003067E+001, 4.7036783E-002
 2.1006051E+001, 4.7973048E-002
 2.2001155E+001, 1.1189254E-001
 2.3004244E+001, 7.8204761E-002
 2.4003583E+001, 1.2329959E-001
 2.5006878E+001, 1.4222245E-001
 2.6003760E+001, 1.5525280E-001
 2.7000532E+001, 1.4141966E-001
 2.8000921E+001, 2.2211370E-001
 2.9005666E+001, 2.0050870E-001
 3.0003005E+001, 1.8162303E-001
 3.1000296E+001, 2.4689324E-001
 3.2001519E+001, 2.4979258E-001
 3.3000599E+001, 2.6855157E-001
 3.4000945E+001, 3.4773246E-001
 3.5004872E+001, 3.0963879E-001
 3.6002883E+001, 3.3993387E-001
 3.7005368E+001, 3.6854214E-001
 3.8003440E+001, 3.8446312E-001
 3.9002441E+001, 3.7497972E-001
 4.0004735E+001, 4.8103152E-001
 4.1004397E+001, 4.9184856E-001
 4.2004679E+001, 4.6425117E-001
 4.3004621E+001, 5.1255837E-001
 4.4004434E+001, 6.1908354E-001
 4.5003374E+001, 5.0285051E-001
 4.6001127E+001, 7.4643347E-001
 4.7005024E+001, 6.5317171E-001
 4.8000652E+001, 9.2313921E-001
 4.9003250E+001, 8.9282275E-001
 5.0001002E+001, 1.0275091E+000
 5.1003093E+001, 7.4906448E-001
 5.2005032E+001, 9.8738749E-001
 5.3003502E+001, 7.2423217E-001
 5.4003562E+001, 7.4291983E-001
 5.5001737E+001, 7.6301164E-001
 5.6002236E+001, 9.8781496E-001
 5.7001509E+001, 1.1615445E+000
 5.8002095E+001, 1.2437310E+000
 5.9003824E+001, 1.0564744E+000
 6.0004792E+001, 1.1035966E+000
 6.1000025E+001, 1.3260781E+000
 6.2000324E+001, 1.5386235E+000
 6.3003159E+001, 1.2182871E+000
 6.4002030E+001, 1.3157587E+000
 6.5001902E+001, 1.7282373E+000
 6.6003752E+001, 1.2003510E+000
 6.7003118E+001, 1.3916630E+000
 6.8003663E+001, 1.4676221E+000
 6.9001233E+001, 1.8338512E+000
 7.0001131E+001, 1.7192315E+000
 7.1002622E+001, 2.2106676E+000
 7.2001562E+001, 1.8496549E+000
 7.3004649E+001, 1.8535079E+000
 7.4001860E+001, 2.1819698E+000
 7.5001936E+001, 2.0658923E+000
 7.6002193E+001, 1.9637605E+000
 7.7003077E+001, 1.9541799E+000
 7.8000605E+001, 2.0005380E+000
 7.9002275E+001, 2.2778865E+000
 8.0003722E+001, 2.3813732E+000
 8.1001322E+001, 2.3276958E+000
 8.2003061E+001, 2.2248057E+000
 8.3004163E+001, 2.6942211E+000
 8.4001536E+001, 2.3477910E+000
 8.5003518E+001, 2.5990657E+000
 8.6000934E+001, 2.6765319E+000
 8.7001509E+001, 2.8498951E+000
 8.8004222E+001, 2.6979849E+000
 8.9000974E+001, 2.7914170E+000
 9.0002669E+001, 2.8775948E+000
 9.1001870E+001, 3.0477487E+000
 9.2004725E+001, 3.1552887E+000
