s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0084610E+000, 1.2242647E-001
 2.0049195E+000, 2.5611272E-002
 3.0038559E+000, 2.5609756E-002
 4.0005470E+000, 2.8968120E-002
 5.0011119E+000, 3.2221007E-002
 6.0017126E+000, 3.6562300E-002
 7.0045871E+000, 4.0085288E-002
 8.0054840E+000, 8.7460637E-002
 9.0038797E+000, 1.4722222E-001
 1.0009873E+001, 2.7754243E-001
 1.1010221E+001, 4.1151761E-001
 1.2003555E+001, 4.3082445E-001
 1.3003346E+001, 4.4393168E-001
 1.4003144E+001, 4.4553717E-001
 1.5007525E+001, 4.7103996E-001
 1.6006051E+001, 5.1835973E-001
 1.7006718E+001, 5.5239051E-001
 1.8007539E+001, 5.5399160E-001
 1.9004155E+001, 5.9402954E-001
 2.0000700E+001, 6.2116187E-001
 2.1003508E+001, 6.5014516E-001
 2.2003001E+001, 6.9219544E-001
 2.3003985E+001, 6.8436770E-001
 2.4002129E+001, 6.3075284E-001
 2.5002386E+001, 5.8995394E-001
 2.6000072E+001, 6.9589342E-001
 2.7006382E+001, 4.9516158E-001
 2.8001314E+001, 3.1787680E-001
 2.9006354E+001, 4.1627202E-001
 3.0000417E+001, 3.9869544E-001
 3.1002105E+001, 5.3047595E-001
 3.2003366E+001, 4.2652055E-001
 3.3002473E+001, 2.4969484E-001
 3.4001203E+001, 7.5000000E-002
 3.5000736E+001, 1.4118700E-001
 3.6002060E+001, 1.4427918E+000
 3.7002624E+001, 7.6811104E-001
 3.8001041E+001, 4.7510682E-001
 3.9004218E+001, 7.5154762E-001
 4.0001921E+001, 1.2792554E+000
 4.1003176E+001, 1.1933327E+000
 4.2000222E+001, 1.4144885E+000
 4.3000677E+001, 1.2956412E+000
 4.4001259E+001, 1.7500000E-001
 4.5002068E+001, 5.5558918E-001
 4.6001819E+001, 1.1611358E+000
 4.7001060E+001, 1.1816397E+000
 4.8002785E+001, 6.1645415E-001
 4.9001258E+001, 5.3638569E-001
 5.0002342E+001, 8.7667761E-001
 5.1001080E+001, 7.0226912E-001
 5.2002141E+001, 3.2624709E-001
 5.3000670E+001, 2.9220954E-001
 5.4002691E+001, 3.2500000E-001
 5.5001185E+001, 3.2500000E-001
 5.6000395E+001, 3.2797928E-001
 5.7000453E+001, 3.7500000E-001
 5.8000825E+001, 3.7500000E-001
 5.9000487E+001, 3.5903306E-001
 6.0000853E+001, 4.1755006E-001
 6.1002108E+001, 4.2500000E-001
 6.2000419E+001, 4.2089960E-001
 6.3000047E+001, 4.5581031E-001
 6.4002173E+001, 1.3264672E+000
 6.5000637E+001, 1.1632672E+000
 6.6003308E+001, 1.7738420E+000
 6.7002318E+001, 2.4266105E+000
 6.8003074E+001, 2.9382791E+000
 6.9000299E+001, 1.9130521E+000
 7.0003177E+001, 8.7875271E-001
 7.1000040E+001, 1.8711313E+000
 7.2002635E+001, 6.2492082E-001
 7.3002407E+001, 1.0628215E+000
 7.4002761E+001, 8.2671621E-001
 7.5002885E+001, 9.2674871E-001
 7.6002755E+001, 1.3956398E+000
 7.7002589E+001, 1.0303457E+000
 7.8002399E+001, 2.3705475E+000
 7.9002309E+001, 1.5233408E+000
 8.0002920E+001, 2.6721557E+000
 8.1003924E+001, 4.1530274E+000
 8.2003958E+001, 4.3313587E+000
 8.3001580E+001, 4.1800329E+000
 8.4003803E+001, 4.3247628E+000
 8.5004589E+001, 4.3685914E+000
 8.6003920E+001, 4.3075725E+000
 8.7005256E+001, 4.5171187E+000
 8.8005584E+001, 4.7895415E+000
 8.9005774E+001, 4.8909851E+000
 9.0006450E+001, 5.1930786E+000
 9.1007400E+001, 5.3271966E+000
 9.2001153E+001, 5.4461549E+000
