s,kg
Time,"Fuel Load"
 0.0000000E+000, 0.0000000E+000
 1.9364917E-001, 1.2217926E+001
 3.8729833E-001, 1.2217881E+001
 5.8094750E-001, 1.2217836E+001
 7.7459667E-001, 1.2217790E+001
 9.5273539E-001, 1.2217744E+001
 1.1231189E+000, 1.2217700E+001
 1.2935024E+000, 1.2217654E+001
 1.4424546E+000, 1.2217605E+001
 1.6487086E+000, 1.2217545E+001
 1.8354267E+000, 1.2217470E+001
 1.9808940E+000, 1.2217398E+001
 2.1752100E+000, 1.2217315E+001
 2.3695261E+000, 1.2217206E+001
 2.5314561E+000, 1.2217090E+001
 2.7257721E+000, 1.2216956E+001
 2.9038951E+000, 1.2216799E+001
 3.0820182E+000, 1.2216628E+001
 3.2601412E+000, 1.2216437E+001
 3.4489516E+000, 1.2216221E+001
 3.6056999E+000, 1.2215996E+001
 3.8016352E+000, 1.2215741E+001
 3.9975705E+000, 1.2215430E+001
 4.1667039E+000, 1.2215106E+001
 4.3358374E+000, 1.2214783E+001
 4.5049708E+000, 1.2214432E+001
 4.7079309E+000, 1.2214013E+001
 4.8770643E+000, 1.2213556E+001
 5.0461977E+000, 1.2213104E+001
 5.2457616E+000, 1.2212567E+001
 5.4283447E+000, 1.2211958E+001
 5.5804974E+000, 1.2211384E+001
 5.7630805E+000, 1.2210765E+001
 5.9611560E+000, 1.2209998E+001
 6.1213319E+000, 1.2209212E+001
 6.3082038E+000, 1.2208382E+001
 6.4950757E+000, 1.2207398E+001
 6.6819475E+000, 1.2206293E+001
 6.8421234E+000, 1.2205128E+001
 7.0230091E+000, 1.2203789E+001
 7.2126321E+000, 1.2202015E+001
 7.4022550E+000, 1.2199680E+001
 7.5681751E+000, 1.2196871E+001
 7.7404061E+000, 1.2193466E+001
 7.9324966E+000, 1.2188774E+001
 8.1078922E+000, 1.2183037E+001
 8.2836752E+000, 1.2176775E+001
 8.4677995E+000, 1.2169561E+001
 8.6435226E+000, 1.2161359E+001
 8.8295665E+000, 1.2151952E+001
 9.0083503E+000, 1.2141271E+001
 9.1862319E+000, 1.2129458E+001
 9.3665546E+000, 1.2115990E+001
 9.5447037E+000, 1.2100884E+001
 9.7275819E+000, 1.2083867E+001
 9.9026632E+000, 1.2064822E+001
 1.0084362E+001, 1.2043480E+001
 1.0266655E+001, 1.2019475E+001
 1.0442195E+001, 1.1993615E+001
 1.0621347E+001, 1.1965173E+001
 1.0803784E+001, 1.1933354E+001
 1.0983279E+001, 1.1898411E+001
 1.1161216E+001, 1.1860785E+001
 1.1345162E+001, 1.1820404E+001
 1.1524830E+001, 1.1778449E+001
 1.1701902E+001, 1.1735619E+001
 1.1881795E+001, 1.1689524E+001
 1.2063281E+001, 1.1639550E+001
 1.2245289E+001, 1.1586158E+001
 1.2423084E+001, 1.1532205E+001
 1.2604696E+001, 1.1476425E+001
 1.2782972E+001, 1.1420359E+001
 1.2964762E+001, 1.1363428E+001
 1.3141775E+001, 1.1304467E+001
 1.3321882E+001, 1.1240509E+001
 1.3504632E+001, 1.1177444E+001
 1.3685193E+001, 1.1110372E+001
 1.3862937E+001, 1.1042500E+001
 1.4044273E+001, 1.0975418E+001
 1.4221408E+001, 1.0912689E+001
 1.4403324E+001, 1.0849923E+001
 1.4581190E+001, 1.0790197E+001
 1.4760496E+001, 1.0732585E+001
 1.4941141E+001, 1.0670405E+001
 1.5123133E+001, 1.0609140E+001
 1.5300336E+001, 1.0553444E+001
 1.5480412E+001, 1.0498639E+001
 1.5663539E+001, 1.0444680E+001
 1.5843443E+001, 1.0393598E+001
 1.6023941E+001, 1.0346343E+001
 1.6200865E+001, 1.0302459E+001
 1.6382703E+001, 1.0259436E+001
 1.6562084E+001, 1.0216654E+001
 1.6740483E+001, 1.0176410E+001
 1.6921841E+001, 1.0130072E+001
 1.7103670E+001, 1.0083566E+001
 1.7281088E+001, 1.0044475E+001
 1.7463417E+001, 1.0006684E+001
 1.7643103E+001, 9.9697682E+000
 1.7823009E+001, 9.9329787E+000
 1.8004084E+001, 9.8963341E+000
 1.8181850E+001, 9.8587345E+000
 1.8362070E+001, 9.8231520E+000
 1.8542464E+001, 9.7864289E+000
 1.8721050E+001, 9.7513140E+000
 1.8902726E+001, 9.7162252E+000
 1.9080140E+001, 9.6804835E+000
 1.9261431E+001, 9.6433863E+000
 1.9445389E+001, 9.6022187E+000
 1.9622564E+001, 9.5600803E+000
 1.9803037E+001, 9.5171986E+000
 1.9981329E+001, 9.4735662E+000
 2.0162838E+001, 9.4286954E+000
 2.0342065E+001, 9.3828577E+000
 2.0523765E+001, 9.3365731E+000
 2.0702753E+001, 9.2902444E+000
 2.0881741E+001, 9.2453697E+000
 2.1061683E+001, 9.2018431E+000
 2.1241818E+001, 9.1583248E+000
 2.1420372E+001, 9.1146269E+000
 2.1600928E+001, 9.0710380E+000
 2.1780232E+001, 9.0284858E+000
 2.1964659E+001, 8.9881125E+000
 2.2143963E+001, 8.9513865E+000
 2.2322662E+001, 8.9166934E+000
 2.2503660E+001, 8.8822533E+000
 2.2682462E+001, 8.8532239E+000
 2.2862924E+001, 8.8244854E+000
 2.3044363E+001, 8.7964153E+000
 2.3221411E+001, 8.7688992E+000
 2.3403825E+001, 8.7418589E+000
 2.3580873E+001, 8.7146347E+000
 2.3763287E+001, 8.6863875E+000
