s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_FUEL VAPOR,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 3.6000000E+001,-1.1693556E-001,-6.2916729E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5883064E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9364917E-001, 3.6075974E+001,-4.4204018E-002,-5.2381559E-002,-3.5164269E-002, 0.0000000E+000, 0.0000000E+000,-4.5383006E+000, 2.2029007E+001, 3.1405924E+001,-7.5542592E-009, 1.3911469E-005, 8.5657082E-009, 2.4900370E-004
 3.8729835E-001, 3.6196322E+001,-1.1671474E-001,-2.1650705E-001,-1.7919208E-001, 0.0000000E+000, 0.0000000E+000,-1.1671353E+001, 2.5676877E+001, 2.4012555E+001,-1.1261992E-008, 1.3972900E-005, 1.2769874E-008, 2.4981307E-004
 5.8094752E-001, 3.6228780E+001,-2.4505944E-001,-4.3338813E-001,-2.8365060E-001, 0.0000000E+000, 0.0000000E+000,-1.5210611E+001, 2.1580759E+001, 2.0056071E+001,-1.1403732E-008, 1.4162882E-005, 1.2930591E-008, 2.5208631E-004
 7.7459669E-001, 3.6240718E+001,-3.7069192E-001,-5.8112717E-001,-2.8948488E-001, 0.0000000E+000, 0.0000000E+000,-1.8383417E+001, 1.8214346E+001, 1.6615996E+001,-1.2063891E-008, 1.4595807E-005, 1.3679140E-008, 2.5654006E-004
 9.4644302E-001, 3.6255633E+001,-4.8648816E-001,-5.6548221E-001,-2.5699242E-001, 0.0000000E+000, 0.0000000E+000,-2.0921552E+001, 1.5189459E+001, 1.4025118E+001,-1.3655016E-008, 1.5446404E-005, 1.5483303E-008, 2.6402697E-004
 1.1073879E+000, 3.6268995E+001,-5.7686118E-001,-3.8131615E-001,-2.3664318E-001, 0.0000000E+000, 0.0000000E+000,-2.1739302E+001, 1.3638439E+001, 1.3334872E+001,-1.6494637E-008, 1.6767815E-005, 1.8703124E-008, 2.7413976E-004
 1.2986203E+000, 3.6295684E+001,-6.3885763E-001,-7.8572605E-002,-2.3672759E-001, 0.0000000E+000, 0.0000000E+000,-2.1642961E+001, 1.3573121E+001, 1.3698565E+001,-2.1554738E-008, 1.8876891E-005, 2.4440728E-008, 2.8834515E-004
 1.4800212E+000, 3.6334585E+001,-6.7021547E-001, 1.3996413E-001,-2.5403301E-001, 0.0000000E+000, 0.0000000E+000,-2.1807107E+001, 1.3509228E+001, 1.3743193E+001,-2.9699654E-008, 2.2015397E-005, 3.3676176E-008, 3.0718818E-004
 1.6357541E+000, 3.6388962E+001,-6.9310007E-001, 5.2737097E-002,-2.7434305E-001, 0.0000000E+000, 0.0000000E+000,-2.2031477E+001, 1.3279957E+001, 1.3442779E+001,-4.1070893E-008, 2.6087624E-005, 4.6569925E-008, 3.2911943E-004
 1.8154405E+000, 3.6461057E+001,-7.2069191E-001,-1.5971989E-001,-2.8819259E-001, 0.0000000E+000, 0.0000000E+000,-2.1857820E+001, 1.3347708E+001, 1.3434633E+001,-5.8446194E-008, 3.1744574E-005, 6.6271626E-008, 3.5646296E-004
 1.9825554E+000, 3.6565578E+001,-7.2578199E-001,-2.2084887E-001,-2.9147770E-001, 0.0000000E+000, 0.0000000E+000,-2.1236856E+001, 1.4058349E+001, 1.4090613E+001,-8.5756677E-008, 3.9756006E-005, 9.7238742E-008, 3.9135872E-004
 2.1649172E+000, 3.6712480E+001,-7.3517173E-001,-9.7326239E-002,-2.8733416E-001, 0.0000000E+000, 0.0000000E+000,-2.0938781E+001, 1.4571416E+001, 1.4653867E+001,-1.2590723E-007, 5.0381979E-005, 1.4276510E-007, 4.3356616E-004
