s,kg/s,kg/s,Pa,Pa,kg/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2
Time,M1,M2,P1,P2,B,G1,G2,G3,G4,G5,G6,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,HF1,HF2,HF3,HF4
 0.0000000E+000,-1.3170708E-006, 2.2938351E-006,-4.3562948E-005,-3.5265883E-005, 0.0000000E+000, 2.0755882E-001, 2.0755882E-001, 3.8641183E-004, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8989106E-005,-2.9847102E-005,-2.3065652E-005,-1.8357772E-005
 5.0014975E+000, 2.7843649E-003,-1.5850884E-003, 2.2432109E-002,-3.6317289E-002, 2.1291597E-005, 2.0249807E-001, 2.0755882E-001, 3.3802161E-003, 3.8641197E-004, 2.5408244E-010, 2.1325135E-017, 4.8997481E+000, 5.5271348E+000, 7.8879688E-001, 8.0659952E-001, 6.4805555E-001, 5.5832479E-001, 3.8664567E-001, 4.0857385E-001, 4.8307207E-001, 6.0794770E-001, 5.9301246E-001, 2.6525248E-001, 5.3718041E+000, 1.4972005E+000, 4.2556559E-001, 6.4232393E-001, 2.6531048E+001, 5.0739156E+001, 1.2520608E+002, 3.6391034E+001, 4.3018138E-001, 3.4596120E-001, 7.1930088E-001
 1.0001117E+001, 7.2064617E-003,-4.8461126E-003, 3.5434719E-001,-1.8082333E-001, 6.3816212E-005, 1.9034639E-001, 2.0751739E-001, 1.0568831E-002, 4.1092505E-004, 7.3651336E-010, 5.6483075E-014, 4.2740105E+001, 4.7166879E+001, 2.1923004E+001, 1.9742291E+001, 1.9024993E+001, 1.6599219E+001, 1.3462893E+001, 9.4259147E+000, 7.1409456E+000, 5.7712901E+000, 3.2033825E+000, 1.3272167E+000, 6.6206268E+001, 3.1643664E+001, 6.2336492E+000, 6.7279208E+000, 8.7874923E+001, 8.8795141E+001, 1.9374914E+002, 4.6299093E+001, 2.8779198E+000, 2.2573991E+000, 1.8517862E+000
 1.5001712E+001, 8.3173384E-003,-7.1732144E-003, 6.7219596E-001,-4.0079441E-001, 8.7423751E-005, 1.7732329E-001, 2.0673056E-001, 1.8272950E-002, 8.7639055E-004, 2.3939814E-010, 1.5468036E-012, 1.0627228E+002, 1.1401070E+002, 7.9536667E+001, 7.3501639E+001, 7.1062211E+001, 6.7670482E+001, 6.2152316E+001, 5.4956294E+001, 3.9451295E+001, 2.2262053E+001, 7.0674248E+000, 2.2253523E+000, 1.7202088E+002, 1.3287538E+002, 3.3179918E+001, 2.5398062E+001, 1.5522195E+002, 1.0426042E+002, 1.3348819E+002, 3.2490883E+001, 7.7360534E+000, 4.9245082E+000, 2.9026185E+000
 2.0001674E+001, 8.2776020E-003,-7.9235918E-003, 7.5640610E-001,-4.9637446E-001, 9.2149627E-005, 1.7060187E-001, 2.0588300E-001, 2.2249168E-002, 1.3777842E-003, 2.8548017E-010, 1.7722776E-012, 1.6063123E+002, 1.6631940E+002, 1.4214864E+002, 1.3548652E+002, 1.2984235E+002, 1.2446850E+002, 1.1412790E+002, 1.0123082E+002, 7.2184569E+001, 3.8110754E+001, 1.2841762E+001, 2.6353774E+000, 2.3807424E+002, 2.2300990E+002, 8.4897314E+001, 5.1342620E+001, 2.0725865E+002, 1.3871861E+002, 1.2221963E+002, 2.7002163E+001, 9.8436560E+000, 6.2059550E+000, 3.4554070E+000
 2.5001224E+001, 8.4293439E-003,-8.1294571E-003, 7.8730172E-001,-5.1573486E-001, 9.6874887E-005, 1.6748821E-001, 2.0558908E-001, 2.4091126E-002, 1.5516601E-003, 1.6665507E-009, 1.4826771E-012, 1.8648775E+002, 1.9402452E+002, 1.7285739E+002, 1.6549396E+002, 1.5965595E+002, 1.5260592E+002, 1.4420791E+002, 1.2829969E+002, 9.2845171E+001, 4.8215129E+001, 1.7222277E+001, 2.8222172E+000, 2.6918177E+002, 2.8780046E+002, 1.3852258E+002, 6.8154940E+001, 2.3544034E+002, 1.6065705E+002, 1.2592529E+002, 2.5554359E+001, 1.1472022E+001, 7.7362908E+000, 3.8897971E+000
 3.0003151E+001, 8.4824080E-003,-8.3085904E-003, 8.1481613E-001,-5.4157439E-001, 1.0160114E-004, 1.6470156E-001, 2.0571489E-001, 2.5739635E-002, 1.4772321E-003, 6.9802156E-010, 1.3903181E-012, 2.0023007E+002, 2.0964803E+002, 1.8965180E+002, 1.8320506E+002, 1.7889285E+002, 1.7175762E+002, 1.6268606E+002, 1.4711225E+002, 1.0874329E+002, 5.5298569E+001, 2.1607054E+001, 3.1629468E+000, 2.9378267E+002, 3.1043432E+002, 1.7526189E+002, 8.3208022E+001, 2.5397520E+002, 1.7676760E+002, 1.3475583E+002, 2.6196356E+001, 1.2180216E+001, 8.3022256E+000, 4.3160669E+000
 3.5001468E+001, 8.6728811E-003,-8.3268186E-003, 8.5923684E-001,-5.3784186E-001, 1.0632673E-004, 1.6577838E-001, 2.0573991E-001, 2.5102615E-002, 1.4624319E-003, 1.1088504E-009, 1.5159283E-012, 2.0889027E+002, 2.2053938E+002, 1.9868416E+002, 1.9400584E+002, 1.8970396E+002, 1.8306339E+002, 1.7417994E+002, 1.5792998E+002, 1.1819871E+002, 6.3169450E+001, 2.4384152E+001, 3.4974432E+000, 3.1004373E+002, 3.3327011E+002, 2.3614570E+002, 1.0039221E+002, 2.6895938E+002, 1.8814171E+002, 1.4373555E+002, 2.6491749E+001, 1.5463739E+001, 9.1321200E+000, 4.6478158E+000
 4.0002593E+001, 8.6347597E-003,-8.3209320E-003, 9.2145121E-001,-5.4601888E-001, 1.1105189E-004, 1.6348158E-001, 2.0549847E-001, 2.6461341E-002, 1.6052626E-003, 1.5146894E-009, 1.6939633E-012, 2.2044932E+002, 2.2867324E+002, 2.1195910E+002, 2.0722471E+002, 2.0262794E+002, 1.9679873E+002, 1.8670292E+002, 1.7118029E+002, 1.3017043E+002, 7.0018415E+001, 2.7567812E+001, 3.9618413E+000, 3.3077173E+002, 3.5147939E+002, 2.7043384E+002, 1.1006270E+002, 2.7641586E+002, 1.9998801E+002, 1.5313695E+002, 2.7150533E+001, 1.5763936E+001, 1.0794813E+001, 5.1389773E+000
