m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,
n_40-x,n_40,d10_40-x,d10_40,d32_40-x,d32_40,d43_40-x,d43_40,w00_40-x,w00_40,w33_40-x,w33_40,f_40-x,f_40,n_60-x,n_60,d10_60-x,d10_60,d32_60-x,d32_60,d43_60-x,d43_60,w00_60-x,w00_60,w33_60-x,w33_60,f_60-x,f_60
-2.8000000E-001, 1.7919160E+005,-2.8000000E-001, 9.9950145E-001,-2.8000000E-001, 9.9950145E-001,-2.8000000E-001, 9.9950145E-001,-2.8000000E-001, 9.9918042E-001,-2.8000000E-001, 9.9913516E-001,-2.8000000E-001, 9.9939573E-001,-2.8000000E-001, 2.6209050E+008,-2.8000000E-001, 8.1160411E-001,-2.8000000E-001, 8.1160430E-001,-2.8000000E-001, 8.1160441E-001,-2.8000000E-001, 6.6994205E-001,-2.8000000E-001, 6.4632092E-001,-2.8000000E-001, 6.6805881E-001
-2.7050847E-001, 8.8704847E+003,-2.7050847E-001, 9.9849003E-001,-2.7050847E-001, 9.9849003E-001,-2.7050847E-001, 9.9849003E-001,-2.7050847E-001, 9.8672389E-001,-2.7050847E-001, 9.8577482E-001,-2.7050847E-001, 2.1071787E-001,-2.7050847E-001, 2.7036888E+008,-2.7050847E-001, 7.8768246E-001,-2.7050847E-001, 7.8768268E-001,-2.7050847E-001, 7.8768280E-001,-2.7050847E-001, 6.2208502E-001,-2.7050847E-001, 5.9053023E-001,-2.7050847E-001, 7.0408879E-001
-2.6101695E-001, 5.3501132E+003,-2.6101695E-001, 9.9796406E-001,-2.6101695E-001, 9.9796406E-001,-2.6101695E-001, 9.9796406E-001,-2.6101695E-001, 9.7356120E-001,-2.6101695E-001, 9.7322221E-001,-2.6101695E-001, 9.9942242E-001,-2.6101695E-001, 3.9023994E+008,-2.6101695E-001, 7.1205245E-001,-2.6101695E-001, 7.1205272E-001,-2.6101695E-001, 7.1205288E-001,-2.6101695E-001, 4.5002991E-001,-2.6101695E-001, 3.9313809E-001,-2.6101695E-001, 5.3380333E-001
-2.5152542E-001, 1.6128020E+007,-2.5152542E-001, 9.6437156E-001,-2.5152542E-001, 9.6437165E-001,-2.5152542E-001, 9.6437172E-001,-2.5152542E-001, 9.1216627E-001,-2.5152542E-001, 8.8494701E-001,-2.5152542E-001, 9.6741616E-001,-2.5152542E-001, 7.9012240E+008,-2.5152542E-001, 6.2919952E-001,-2.5152542E-001, 6.2920009E-001,-2.5152542E-001, 6.2920041E-001,-2.5152542E-001, 3.3957334E-001,-2.5152542E-001, 2.5956549E-001,-2.5152542E-001, 9.8380788E-002
-2.4203390E-001, 2.0562200E+007,-2.4203390E-001, 9.5977286E-001,-2.4203390E-001, 9.5977297E-001,-2.4203390E-001, 9.5977305E-001,-2.4203390E-001, 8.6521151E-001,-2.4203390E-001, 8.2796868E-001,-2.4203390E-001, 9.4240364E-001,-2.4203390E-001, 1.2947164E+009,-2.4203390E-001, 6.1893788E-001,-2.4203390E-001, 6.1893841E-001,-2.4203390E-001, 6.1893872E-001,-2.4203390E-001, 3.4519031E-001,-2.4203390E-001, 2.7344500E-001,-2.4203390E-001,-6.2542906E-002
-2.3254237E-001, 4.6579334E+007,-2.3254237E-001, 9.5823896E-001,-2.3254237E-001, 9.5823906E-001,-2.3254237E-001, 9.5823913E-001,-2.3254237E-001, 9.2191435E-001,-2.3254237E-001, 8.9421675E-001,-2.3254237E-001, 9.5176254E-001,-2.3254237E-001, 3.2373338E+009,-2.3254237E-001, 5.2238910E-001,-2.3254237E-001, 5.2238984E-001,-2.3254237E-001, 5.2239027E-001,-2.3254237E-001, 2.3540680E-001,-2.3254237E-001, 1.6131022E-001,-2.3254237E-001,-1.0506773E+000
-2.2305085E-001, 4.9433187E+008,-2.2305085E-001, 8.6919011E-001,-2.2305085E-001, 8.6919028E-001,-2.2305085E-001, 8.6919041E-001,-2.2305085E-001, 7.7323012E-001,-2.2305085E-001, 7.2134154E-001,-2.2305085E-001, 6.6761929E-001,-2.2305085E-001, 3.8540974E+009,-2.2305085E-001, 4.6394120E-001,-2.2305085E-001, 4.6394201E-001,-2.2305085E-001, 4.6394247E-001,-2.2305085E-001, 1.3056426E-001,-2.2305085E-001, 4.1937669E-002,-2.2305085E-001,-1.0929989E+000
-2.1355932E-001, 5.7038373E+008,-2.1355932E-001, 8.7209574E-001,-2.1355932E-001, 8.7209594E-001,-2.1355932E-001, 8.7209609E-001,-2.1355932E-001, 7.6119480E-001,-2.1355932E-001, 6.9607599E-001,-2.1355932E-001, 6.7725091E-001,-2.1355932E-001, 3.8183756E+009,-2.1355932E-001, 4.8532526E-001,-2.1355932E-001, 4.8532588E-001,-2.1355932E-001, 4.8532625E-001,-2.1355932E-001, 9.9020834E-002,-2.1355932E-001,-5.3326965E-003,-2.1355932E-001,-1.5088839E+000
-2.0406780E-001, 9.0397721E+008,-2.0406780E-001, 8.4706158E-001,-2.0406780E-001, 8.4706185E-001,-2.0406780E-001, 8.4706203E-001,-2.0406780E-001, 6.9516239E-001,-2.0406780E-001, 6.0561825E-001,-2.0406780E-001, 4.0155007E-001,-2.0406780E-001, 4.8941596E+009,-2.0406780E-001, 4.8215123E-001,-2.0406780E-001, 4.8215184E-001,-2.0406780E-001, 4.8215220E-001,-2.0406780E-001, 1.1496180E-001,-2.0406780E-001, 2.3147954E-002,-2.0406780E-001,-1.8701019E+000
