s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,
Time,SPRINKLER 1,SPRINKLER 2,SPRINKLER 3,SPRINKLER 4,TC_1_01,TC_1_02,TC_1_03,TC_1_04,TC_1_05,TC_1_06,TC_1_07,TC_1_08,TC_1_09,TC_1_10,TC_1_11,TC_1_12,TC_2_01,TC_2_02,TC_2_03,TC_2_04,TC_2_05,TC_2_06,TC_2_07,TC_2_08,TC_2_09,TC_2_10,TC_2_11,TC_2_12,TC_3_01,TC_3_02,TC_3_03,TC_3_04,TC_3_05,TC_3_06,TC_3_07,TC_3_08,TC_3_09,TC_3_10,TC_3_11,TC_3_12,TC_4_01,TC_4_02,TC_4_03,TC_4_04,TC_4_05,TC_4_06,TC_4_07,TC_4_08,TC_4_09,TC_4_10,TC_4_11,TC_4_12,BDP_1_01,BDP_1_02,BDP_1_03,BDP_1_04,BDP_2_01,BDP_2_02,BDP_2_03,BDP_2_04,Acts
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 5.758E-03, 5.758E-03, 6.168E-03, 8.217E-03, 2.992E-03, 2.992E-03, 5.149E-03, 7.761E-03, 0.000E+00
 4.030E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.002E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 1.997E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 8.091E-03, 8.091E-03, 6.042E-03, 6.422E-03, 2.524E-03, 2.524E-03, 4.769E-03, 7.495E-03, 0.000E+00
 8.006E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.004E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 1.993E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.001E+01, 1.697E-02, 1.697E-02, 1.549E-02, 1.213E-02, 1.645E-03, 1.645E-03, 3.531E-03, 7.407E-03, 0.000E+00
 1.200E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.004E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.003E+01, 2.003E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.000E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.000E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 1.993E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.002E+01, 1.752E-02, 1.752E-02, 2.641E-02, 2.619E-02, 1.729E-03, 1.729E-03, 2.581E-03, 7.629E-03, 0.000E+00
 1.601E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.005E+01, 2.005E+01, 2.005E+01, 2.005E+01, 2.005E+01, 2.006E+01, 2.006E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.001E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.004E+01, 2.003E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.001E+01, 1.994E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.004E+01, 4.193E-02, 4.193E-02, 4.810E-02, 4.694E-02, 2.085E-03, 2.085E-03, 2.069E-03, 7.607E-03, 0.000E+00
 2.001E+01, 2.001E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.013E+01, 2.024E+01, 2.024E+01, 2.024E+01, 2.024E+01, 2.026E+01, 2.026E+01, 2.022E+01, 2.016E+01, 2.012E+01, 2.011E+01, 2.011E+01, 2.001E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.004E+01, 2.004E+01, 2.005E+01, 2.005E+01, 2.005E+01, 2.001E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 1.997E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.003E+01, 2.003E+01, 2.004E+01, 2.007E+01, 1.195E-01, 1.195E-01, 1.426E-01, 1.202E-01, 2.241E-03, 2.241E-03, 1.381E-03, 7.480E-03, 0.000E+00
 2.400E+01, 2.014E+01, 2.000E+01, 2.000E+01, 2.010E+01, 2.091E+01, 2.199E+01, 2.199E+01, 2.199E+01, 2.199E+01, 2.237E+01, 2.237E+01, 2.193E+01, 2.147E+01, 2.086E+01, 2.044E+01, 2.015E+01, 2.002E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.005E+01, 2.005E+01, 2.005E+01, 2.006E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.001E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.002E+01, 2.120E+01, 2.134E+01, 2.134E+01, 2.134E+01, 2.134E+01, 2.109E+01, 2.109E+01, 2.078E+01, 2.070E+01, 2.070E+01, 2.074E+01, 2.038E+01, 2.826E-01, 2.826E-01, 2.655E-01, 2.207E-01, 2.283E-03, 2.283E-03, 8.650E-04, 7.333E-03, 0.000E+00
 2.801E+01, 2.042E+01, 2.000E+01, 2.000E+01, 2.067E+01, 2.297E+01, 2.466E+01, 2.466E+01, 2.466E+01, 2.466E+01, 2.457E+01, 2.457E+01, 2.339E+01, 2.249E+01, 2.151E+01, 2.089E+01, 2.019E+01, 2.003E+01, 2.005E+01, 2.005E+01, 2.005E+01, 2.005E+01, 2.006E+01, 2.006E+01, 2.007E+01, 2.008E+01, 2.009E+01, 2.009E+01, 2.009E+01, 2.002E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.003E+01, 2.636E+01, 2.721E+01, 2.721E+01, 2.721E+01, 2.721E+01, 2.683E+01, 2.683E+01, 2.617E+01, 2.568E+01, 2.462E+01, 2.400E+01, 2.137E+01, 3.356E-01, 3.356E-01, 2.200E-01, 2.169E-01, 4.560E-03, 4.560E-03, 3.528E-03, 8.505E-03, 0.000E+00
 3.200E+01, 2.103E+01, 2.000E+01, 2.000E+01, 2.172E+01, 2.785E+01, 2.985E+01, 2.985E+01, 2.985E+01, 2.985E+01, 2.910E+01, 2.910E+01, 2.719E+01, 2.433E+01, 2.230E+01, 2.139E+01, 2.024E+01, 2.003E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.007E+01, 2.008E+01, 2.008E+01, 2.009E+01, 2.010E+01, 2.011E+01, 2.011E+01, 2.011E+01, 2.002E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.005E+01, 2.005E+01, 2.005E+01, 2.005E+01, 2.004E+01, 3.226E+01, 3.422E+01, 3.422E+01, 3.422E+01, 3.422E+01, 3.398E+01, 3.398E+01, 3.189E+01, 2.793E+01, 2.403E+01, 2.302E+01, 2.145E+01, 4.295E-01, 4.295E-01, 2.987E-01, 2.732E-01, 1.443E-02, 1.443E-02, 1.313E-02, 1.632E-02, 0.000E+00
 3.601E+01, 2.175E+01, 2.000E+01, 2.004E+01, 2.265E+01, 3.210E+01, 3.390E+01, 3.390E+01, 3.390E+01, 3.390E+01, 3.157E+01, 3.157E+01, 2.901E+01, 2.611E+01, 2.401E+01, 2.304E+01, 2.041E+01, 2.004E+01, 2.008E+01, 2.008E+01, 2.008E+01, 2.008E+01, 2.009E+01, 2.009E+01, 2.010E+01, 2.012E+01, 2.013E+01, 2.014E+01, 2.013E+01, 2.016E+01, 2.057E+01, 2.057E+01, 2.057E+01, 2.057E+01, 2.058E+01, 2.058E+01, 2.041E+01, 2.025E+01, 2.015E+01, 2.009E+01, 2.005E+01, 3.651E+01, 3.777E+01, 3.777E+01, 3.777E+01, 3.777E+01, 3.807E+01, 3.807E+01, 3.734E+01, 3.307E+01, 2.637E+01, 2.308E+01, 2.097E+01, 3.358E-01, 3.358E-01, 2.066E-01, 2.418E-01, 5.105E-02, 5.105E-02, 5.541E-02, 5.834E-02, 0.000E+00
 4.000E+01, 2.246E+01, 2.001E+01, 2.021E+01, 2.376E+01, 3.558E+01, 3.721E+01, 3.721E+01, 3.721E+01, 3.721E+01, 3.432E+01, 3.432E+01, 3.118E+01, 2.820E+01, 2.654E+01, 2.567E+01, 2.101E+01, 2.010E+01, 2.028E+01, 2.028E+01, 2.028E+01, 2.028E+01, 2.053E+01, 2.053E+01, 2.053E+01, 2.043E+01, 2.035E+01, 2.028E+01, 2.018E+01, 2.138E+01, 2.266E+01, 2.266E+01, 2.266E+01, 2.266E+01, 2.314E+01, 2.314E+01, 2.304E+01, 2.256E+01, 2.196E+01, 2.136E+01, 2.007E+01, 4.100E+01, 4.249E+01, 4.249E+01, 4.249E+01, 4.249E+01, 4.290E+01, 4.290E+01, 4.169E+01, 3.695E+01, 2.919E+01, 2.458E+01, 2.074E+01, 2.460E-01, 2.460E-01, 2.566E-01, 1.795E-01, 1.901E-01, 1.901E-01, 2.493E-01, 2.816E-01, 0.000E+00
