s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,
Time,"SPRINKLER 1","SPRINKLER 2","SPRINKLER 3","SPRINKLER 4","TC_1_01","TC_1_02","TC_1_03","TC_1_04","TC_1_05","TC_1_06","TC_1_07","TC_1_08","TC_1_09","TC_1_10","TC_1_11","TC_1_12","TC_2_01","TC_2_02","TC_2_03","TC_2_04","TC_2_05","TC_2_06","TC_2_07","TC_2_08","TC_2_09","TC_2_10","TC_2_11","TC_2_12","TC_3_01","TC_3_02","TC_3_03","TC_3_04","TC_3_05","TC_3_06","TC_3_07","TC_3_08","TC_3_09","TC_3_10","TC_3_11","TC_3_12","TC_4_01","TC_4_02","TC_4_03","TC_4_04","TC_4_05","TC_4_06","TC_4_07","TC_4_08","TC_4_09","TC_4_10","TC_4_11","TC_4_12","BDP_1_01","BDP_1_02","BDP_1_03","BDP_1_04","BDP_2_01","BDP_2_02","BDP_2_03","BDP_2_04","Acts"
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 3.072E-03, 9.549E-03, 6.246E-03, 5.958E-03, 4.697E-03, 4.393E-03, 8.857E-03, 2.970E-03, 0.000E+00
 4.008E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.711E-03, 9.287E-03, 5.513E-03, 5.537E-03, 4.551E-03, 4.788E-03, 8.635E-03, 2.144E-03, 0.000E+00
 8.023E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.001E+01, 2.001E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.001E+01, 2.001E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 1.112E-02, 1.442E-02, 1.024E-02, 1.070E-02, 1.937E-02, 2.076E-02, 2.168E-02, 1.455E-02, 0.000E+00
 1.201E+01, 2.006E+01, 2.004E+01, 2.000E+01, 2.000E+01, 2.080E+01, 2.080E+01, 2.055E+01, 2.055E+01, 2.055E+01, 2.026E+01, 2.026E+01, 2.009E+01, 2.006E+01, 2.006E+01, 2.006E+01, 2.006E+01, 2.059E+01, 2.059E+01, 2.040E+01, 2.040E+01, 2.040E+01, 2.021E+01, 2.021E+01, 2.009E+01, 2.006E+01, 2.006E+01, 2.006E+01, 2.006E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 4.853E-01, 2.909E-01, 1.160E-01, 7.522E-02, 3.273E-01, 1.426E-01, 7.813E-02, 7.923E-02, 0.000E+00
 1.601E+01, 2.031E+01, 2.029E+01, 2.000E+01, 2.000E+01, 2.323E+01, 2.323E+01, 2.193E+01, 2.193E+01, 2.193E+01, 2.060E+01, 2.060E+01, 2.022E+01, 2.013E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.323E+01, 2.323E+01, 2.148E+01, 2.148E+01, 2.148E+01, 2.055E+01, 2.055E+01, 2.022E+01, 2.013E+01, 2.012E+01, 2.012E+01, 2.012E+01, 2.009E+01, 2.009E+01, 2.009E+01, 2.009E+01, 2.009E+01, 2.009E+01, 2.009E+01, 2.009E+01, 2.008E+01, 2.008E+01, 2.008E+01, 2.009E+01, 2.009E+01, 2.009E+01, 2.009E+01, 2.009E+01, 2.009E+01, 2.009E+01, 2.009E+01, 2.008E+01, 2.008E+01, 2.008E+01, 2.008E+01, 2.009E+01, 4.971E-01, 1.807E-01, 6.195E-02, 8.024E-02, 5.492E-01, 1.261E-01, 4.170E-02, 6.605E-02, 0.000E+00
 2.001E+01, 2.066E+01, 2.065E+01, 2.000E+01, 2.000E+01, 2.538E+01, 2.538E+01, 2.281E+01, 2.281E+01, 2.281E+01, 2.102E+01, 2.102E+01, 2.041E+01, 2.022E+01, 2.021E+01, 2.021E+01, 2.020E+01, 2.557E+01, 2.557E+01, 2.281E+01, 2.281E+01, 2.281E+01, 2.106E+01, 2.106E+01, 2.041E+01, 2.023E+01, 2.020E+01, 2.021E+01, 2.020E+01, 2.015E+01, 2.015E+01, 2.015E+01, 2.015E+01, 2.015E+01, 2.015E+01, 2.015E+01, 2.015E+01, 2.015E+01, 2.014E+01, 2.014E+01, 2.016E+01, 2.015E+01, 2.015E+01, 2.015E+01, 2.015E+01, 2.015E+01, 2.015E+01, 2.015E+01, 2.015E+01, 2.015E+01, 2.014E+01, 2.014E+01, 2.016E+01, 6.148E-01, 1.174E-01, 7.488E-02, 6.978E-02, 5.623E-01, 1.603E-01, 6.665E-02, 7.137E-02, 0.000E+00
 2.400E+01, 2.115E+01, 2.122E+01, 2.001E+01, 2.001E+01, 2.810E+01, 2.810E+01, 2.499E+01, 2.499E+01, 2.499E+01, 2.326E+01, 2.326E+01, 2.212E+01, 2.141E+01, 2.041E+01, 2.031E+01, 2.030E+01, 2.867E+01, 2.867E+01, 2.563E+01, 2.563E+01, 2.563E+01, 2.333E+01, 2.333E+01, 2.215E+01, 2.154E+01, 2.050E+01, 2.032E+01, 2.030E+01, 2.022E+01, 2.022E+01, 2.023E+01, 2.023E+01, 2.023E+01, 2.023E+01, 2.023E+01, 2.023E+01, 2.022E+01, 2.022E+01, 2.022E+01, 2.024E+01, 2.023E+01, 2.023E+01, 2.023E+01, 2.023E+01, 2.023E+01, 2.023E+01, 2.023E+01, 2.023E+01, 2.023E+01, 2.022E+01, 2.022E+01, 2.024E+01, 5.416E-01, 2.021E-01, 1.793E-01, 1.468E-01, 6.406E-01, 2.043E-01, 1.417E-01, 9.520E-02, 0.000E+00
 2.801E+01, 2.176E+01, 2.197E+01, 2.001E+01, 2.002E+01, 3.076E+01, 3.076E+01, 2.722E+01, 2.722E+01, 2.722E+01, 2.537E+01, 2.537E+01, 2.407E+01, 2.335E+01, 2.101E+01, 2.048E+01, 2.043E+01, 3.181E+01, 3.181E+01, 2.782E+01, 2.782E+01, 2.782E+01, 2.523E+01, 2.523E+01, 2.379E+01, 2.326E+01, 2.133E+01, 2.055E+01, 2.043E+01, 2.032E+01, 2.032E+01, 2.033E+01, 2.033E+01, 2.033E+01, 2.033E+01, 2.033E+01, 2.033E+01, 2.032E+01, 2.032E+01, 2.032E+01, 2.035E+01, 2.036E+01, 2.036E+01, 2.035E+01, 2.035E+01, 2.035E+01, 2.033E+01, 2.033E+01, 2.033E+01, 2.033E+01, 2.032E+01, 2.032E+01, 2.035E+01, 5.898E-01, 1.397E-01, 9.624E-02, 8.342E-02, 7.092E-01, 1.803E-01, 1.124E-01, 5.931E-02, 0.000E+00
 3.202E+01, 2.257E+01, 2.266E+01, 2.005E+01, 2.009E+01, 3.364E+01, 3.364E+01, 2.977E+01, 2.977E+01, 2.977E+01, 2.720E+01, 2.720E+01, 2.560E+01, 2.467E+01, 2.163E+01, 2.084E+01, 2.057E+01, 3.381E+01, 3.381E+01, 3.037E+01, 3.037E+01, 3.037E+01, 2.753E+01, 2.753E+01, 2.542E+01, 2.460E+01, 2.164E+01, 2.078E+01, 2.057E+01, 2.079E+01, 2.079E+01, 2.066E+01, 2.066E+01, 2.066E+01, 2.052E+01, 2.052E+01, 2.046E+01, 2.045E+01, 2.044E+01, 2.044E+01, 2.048E+01, 2.125E+01, 2.125E+01, 2.092E+01, 2.092E+01, 2.092E+01, 2.059E+01, 2.059E+01, 2.046E+01, 2.045E+01, 2.044E+01, 2.044E+01, 2.048E+01, 7.515E-01, 2.133E-01, 7.829E-02, 7.533E-02, 5.465E-01, 2.386E-01, 1.445E-01, 1.162E-01, 0.000E+00
