s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 0.000E+00, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 0.000E+00
 4.002E+00, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 0.000E+00
 8.007E+00, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.501E+01, 2.570E+01, 4.827E+01, 4.688E+01, 4.565E+01, 3.248E+01, 2.503E+01, 2.500E+01, 2.501E+01, 2.501E+01, 2.500E+01, 2.500E+01, 2.501E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 0.000E+00
 1.200E+01, 2.500E+01, 2.548E+01, 2.634E+01, 2.720E+01, 2.530E+01, 2.503E+01, 2.821E+01, 6.318E+01, 6.130E+01, 5.864E+01, 4.795E+01, 2.508E+01, 2.500E+01, 2.533E+01, 2.510E+01, 2.502E+01, 2.501E+01, 2.503E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.501E+01, 2.501E+01, 2.501E+01, 0.000E+00
 1.601E+01, 2.537E+01, 4.052E+01, 4.133E+01, 4.147E+01, 3.748E+01, 2.506E+01, 3.175E+01, 7.695E+01, 7.384E+01, 7.016E+01, 5.594E+01, 2.514E+01, 2.534E+01, 4.320E+01, 4.091E+01, 2.751E+01, 2.503E+01, 2.505E+01, 2.500E+01, 2.500E+01, 2.501E+01, 2.501E+01, 2.502E+01, 2.503E+01, 0.000E+00
 2.001E+01, 2.606E+01, 5.008E+01, 5.052E+01, 5.155E+01, 4.194E+01, 2.510E+01, 3.570E+01, 8.740E+01, 8.687E+01, 8.505E+01, 6.455E+01, 2.521E+01, 2.619E+01, 5.080E+01, 4.850E+01, 3.053E+01, 2.505E+01, 2.508E+01, 2.505E+01, 3.155E+01, 3.120E+01, 2.978E+01, 3.027E+01, 2.504E+01, 0.000E+00
 2.401E+01, 2.698E+01, 5.379E+01, 5.443E+01, 5.509E+01, 6.319E+01, 2.512E+01, 4.026E+01, 9.127E+01, 9.095E+01, 8.841E+01, 7.703E+01, 2.529E+01, 2.714E+01, 5.747E+01, 5.650E+01, 3.947E+01, 2.508E+01, 2.512E+01, 2.544E+01, 3.975E+01, 3.827E+01, 3.073E+01, 3.307E+01, 2.523E+01, 0.000E+00
 2.800E+01, 2.839E+01, 6.074E+01, 6.334E+01, 6.700E+01, 6.936E+01, 2.534E+01, 4.545E+01, 1.085E+02, 1.056E+02, 1.023E+02, 8.891E+01, 2.538E+01, 2.832E+01, 6.649E+01, 6.184E+01, 4.603E+01, 3.030E+01, 2.514E+01, 2.595E+01, 4.288E+01, 4.146E+01, 3.732E+01, 3.457E+01, 2.924E+01, 0.000E+00
 3.200E+01, 3.010E+01, 6.707E+01, 6.625E+01, 6.585E+01, 7.678E+01, 2.559E+01, 5.174E+01, 1.190E+02, 1.162E+02, 1.122E+02, 1.010E+02, 2.546E+01, 3.005E+01, 7.568E+01, 7.135E+01, 4.489E+01, 3.559E+01, 2.529E+01, 2.680E+01, 5.412E+01, 5.435E+01, 5.203E+01, 4.248E+01, 3.346E+01, 0.000E+00
