s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00
 4.007E+00, 2.000E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00
 8.007E+00, 2.022E+01, 3.024E+01, 2.625E+01, 2.014E+01, 2.003E+01, 2.002E+01, 2.030E+01, 3.336E+01, 2.707E+01, 2.020E+01, 2.002E+01, 2.002E+01, 2.035E+01, 3.436E+01, 2.786E+01, 2.018E+01, 2.003E+01, 2.003E+01, 2.036E+01, 3.361E+01, 2.592E+01, 2.017E+01, 2.003E+01, 2.003E+01, 0.000E+00
 1.201E+01, 2.161E+01, 4.385E+01, 3.438E+01, 2.025E+01, 2.005E+01, 2.005E+01, 2.185E+01, 4.535E+01, 3.022E+01, 2.024E+01, 2.005E+01, 2.005E+01, 2.198E+01, 4.670E+01, 3.291E+01, 2.036E+01, 2.007E+01, 2.007E+01, 2.193E+01, 4.742E+01, 3.344E+01, 2.032E+01, 2.007E+01, 2.007E+01, 0.000E+00
 1.600E+01, 2.348E+01, 5.046E+01, 4.150E+01, 2.578E+01, 2.178E+01, 2.008E+01, 2.390E+01, 5.046E+01, 3.912E+01, 2.610E+01, 2.291E+01, 2.013E+01, 2.448E+01, 5.953E+01, 4.446E+01, 2.965E+01, 2.276E+01, 2.013E+01, 2.420E+01, 5.556E+01, 4.420E+01, 2.821E+01, 2.279E+01, 2.013E+01, 0.000E+00
 2.001E+01, 2.574E+01, 5.827E+01, 4.789E+01, 3.427E+01, 2.873E+01, 2.150E+01, 2.614E+01, 6.019E+01, 4.780E+01, 3.393E+01, 2.739E+01, 2.086E+01, 2.771E+01, 7.192E+01, 5.654E+01, 3.745E+01, 2.947E+01, 2.298E+01, 2.727E+01, 6.983E+01, 5.593E+01, 3.610E+01, 2.773E+01, 2.090E+01, 0.000E+00
 2.401E+01, 2.886E+01, 7.126E+01, 5.852E+01, 4.395E+01, 3.555E+01, 2.490E+01, 2.917E+01, 6.930E+01, 5.546E+01, 4.173E+01, 3.464E+01, 2.634E+01, 3.183E+01, 8.189E+01, 6.895E+01, 4.841E+01, 3.047E+01, 2.170E+01, 3.119E+01, 7.873E+01, 6.240E+01, 4.466E+01, 2.986E+01, 2.111E+01, 0.000E+00
 2.800E+01, 3.255E+01, 7.592E+01, 6.423E+01, 5.219E+01, 4.213E+01, 3.284E+01, 3.293E+01, 8.370E+01, 6.769E+01, 4.940E+01, 4.282E+01, 3.565E+01, 3.665E+01, 9.046E+01, 7.422E+01, 5.492E+01, 4.252E+01, 2.715E+01, 3.587E+01, 9.335E+01, 7.698E+01, 5.608E+01, 4.160E+01, 2.584E+01, 0.000E+00
 3.201E+01, 3.635E+01, 8.682E+01, 7.036E+01, 5.769E+01, 4.811E+01, 3.926E+01, 3.734E+01, 9.018E+01, 7.657E+01, 6.278E+01, 5.484E+01, 3.555E+01, 4.177E+01, 1.042E+02, 8.969E+01, 6.601E+01, 4.566E+01, 2.990E+01, 4.067E+01, 9.480E+01, 8.289E+01, 6.481E+01, 4.837E+01, 3.254E+01, 0.000E+00
