s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 0.000E+00, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 0.000E+00
 4.045E+00, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 0.000E+00
 8.009E+00, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 0.000E+00
 1.202E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.601E+01, 2.601E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.600E+01, 2.601E+01, 2.601E+01, 2.600E+01, 2.601E+01, 2.601E+01, 2.601E+01, 2.601E+01, 2.601E+01, 2.600E+01, 2.600E+01, 2.601E+01, 2.601E+01, 2.601E+01, 2.601E+01, 0.000E+00
 1.601E+01, 2.600E+01, 2.645E+01, 2.731E+01, 2.789E+01, 2.616E+01, 2.601E+01, 2.600E+01, 2.601E+01, 2.605E+01, 2.621E+01, 2.601E+01, 2.601E+01, 2.600E+01, 2.601E+01, 2.601E+01, 2.601E+01, 2.602E+01, 2.602E+01, 2.600E+01, 2.601E+01, 2.601E+01, 2.601E+01, 2.602E+01, 2.602E+01, 0.000E+00
 2.002E+01, 2.611E+01, 3.050E+01, 3.020E+01, 2.879E+01, 2.606E+01, 2.602E+01, 2.605E+01, 2.930E+01, 2.891E+01, 2.817E+01, 2.603E+01, 2.602E+01, 2.600E+01, 2.605E+01, 2.604E+01, 2.602E+01, 2.603E+01, 2.603E+01, 2.600E+01, 2.620E+01, 2.630E+01, 2.604E+01, 2.603E+01, 2.603E+01, 0.000E+00
 2.403E+01, 2.631E+01, 3.072E+01, 2.948E+01, 2.808E+01, 2.638E+01, 2.603E+01, 2.619E+01, 2.981E+01, 2.791E+01, 2.730E+01, 2.605E+01, 2.603E+01, 2.601E+01, 2.720E+01, 2.700E+01, 2.605E+01, 2.604E+01, 2.604E+01, 2.605E+01, 2.830E+01, 2.764E+01, 2.613E+01, 2.604E+01, 2.604E+01, 0.000E+00
 2.801E+01, 2.656E+01, 3.347E+01, 3.291E+01, 3.286E+01, 2.794E+01, 2.604E+01, 2.642E+01, 3.267E+01, 3.123E+01, 3.039E+01, 3.080E+01, 2.604E+01, 2.606E+01, 2.828E+01, 2.794E+01, 2.702E+01, 2.605E+01, 2.605E+01, 2.611E+01, 2.893E+01, 2.784E+01, 2.686E+01, 2.605E+01, 2.605E+01, 0.000E+00
 3.201E+01, 2.678E+01, 3.359E+01, 3.395E+01, 3.342E+01, 3.177E+01, 2.605E+01, 2.661E+01, 3.246E+01, 3.238E+01, 3.218E+01, 3.026E+01, 2.605E+01, 2.614E+01, 2.920E+01, 2.840E+01, 2.702E+01, 2.607E+01, 2.607E+01, 2.622E+01, 3.032E+01, 2.885E+01, 2.690E+01, 2.607E+01, 2.606E+01, 0.000E+00
 3.602E+01, 2.704E+01, 3.542E+01, 3.493E+01, 3.459E+01, 3.223E+01, 2.608E+01, 2.681E+01, 3.488E+01, 3.295E+01, 3.231E+01, 3.153E+01, 2.608E+01, 2.625E+01, 3.001E+01, 2.884E+01, 2.643E+01, 2.608E+01, 2.608E+01, 2.632E+01, 2.944E+01, 2.856E+01, 2.675E+01, 2.610E+01, 2.608E+01, 0.000E+00
 4.001E+01, 2.740E+01, 3.762E+01, 3.661E+01, 3.613E+01, 3.404E+01, 2.611E+01, 2.713E+01, 3.717E+01, 3.717E+01, 3.617E+01, 3.237E+01, 2.610E+01, 2.638E+01, 3.201E+01, 3.148E+01, 2.753E+01, 2.716E+01, 2.610E+01, 2.646E+01, 3.295E+01, 3.188E+01, 2.987E+01, 2.768E+01, 2.609E+01, 0.000E+00
 4.402E+01, 2.771E+01, 3.726E+01, 3.658E+01, 3.654E+01, 3.294E+01, 2.614E+01, 2.751E+01, 3.739E+01, 3.723E+01, 3.522E+01, 3.156E+01, 2.614E+01, 2.656E+01, 3.269E+01, 3.177E+01, 2.965E+01, 2.932E+01, 2.771E+01, 2.665E+01, 3.255E+01, 3.208E+01, 3.047E+01, 2.883E+01, 2.768E+01, 0.000E+00
 4.801E+01, 2.813E+01, 3.892E+01, 3.915E+01, 3.891E+01, 3.707E+01, 2.620E+01, 2.796E+01, 3.938E+01, 3.680E+01, 3.557E+01, 3.388E+01, 2.619E+01, 2.668E+01, 3.293E+01, 3.252E+01, 3.116E+01, 2.902E+01, 2.825E+01, 2.685E+01, 3.641E+01, 3.633E+01, 3.315E+01, 3.082E+01, 2.753E+01, 0.000E+00
 5.201E+01, 2.867E+01, 4.321E+01, 4.234E+01, 4.170E+01, 3.962E+01, 2.636E+01, 2.850E+01, 4.174E+01, 4.022E+01, 3.914E+01, 3.665E+01, 2.631E+01, 2.695E+01, 3.482E+01, 3.361E+01, 3.207E+01, 3.061E+01, 2.712E+01, 2.728E+01, 3.838E+01, 3.623E+01, 3.335E+01, 3.171E+01, 2.666E+01, 0.000E+00
 5.601E+01, 2.923E+01, 4.325E+01, 4.225E+01, 4.053E+01, 3.724E+01, 2.632E+01, 2.911E+01, 4.418E+01, 4.333E+01, 4.188E+01, 4.063E+01, 2.635E+01, 2.725E+01, 3.747E+01, 3.608E+01, 3.408E+01, 3.254E+01, 2.785E+01, 2.754E+01, 3.592E+01, 3.527E+01, 3.460E+01, 3.262E+01, 2.813E+01, 0.000E+00
 6.001E+01, 2.974E+01, 4.389E+01, 4.407E+01, 4.322E+01, 4.093E+01, 2.638E+01, 2.972E+01, 4.372E+01, 4.400E+01, 4.293E+01, 4.005E+01, 2.648E+01, 2.756E+01, 3.683E+01, 3.634E+01, 3.593E+01, 3.401E+01, 2.900E+01, 2.783E+01, 3.766E+01, 3.639E+01, 3.534E+01, 3.344E+01, 2.890E+01, 0.000E+00
 6.400E+01, 3.035E+01, 4.488E+01, 4.465E+01, 4.385E+01, 4.184E+01, 2.668E+01, 3.035E+01, 4.640E+01, 4.678E+01, 4.686E+01, 4.417E+01, 2.676E+01, 2.785E+01, 3.912E+01, 3.893E+01, 3.831E+01, 3.553E+01, 2.998E+01, 2.827E+01, 4.226E+01, 4.073E+01, 3.886E+01, 3.613E+01, 2.921E+01, 0.000E+00
 6.800E+01, 3.104E+01, 4.933E+01, 4.999E+01, 4.882E+01, 4.269E+01, 2.702E+01, 3.102E+01, 4.900E+01, 4.849E+01, 4.720E+01, 4.323E+01, 2.687E+01, 2.817E+01, 3.747E+01, 3.797E+01, 3.859E+01, 3.642E+01, 3.026E+01, 2.875E+01, 4.226E+01, 4.221E+01, 4.086E+01, 3.674E+01, 2.856E+01, 0.000E+00
 7.202E+01, 3.199E+01, 5.251E+01, 5.124E+01, 5.017E+01, 4.678E+01, 2.923E+01, 3.184E+01, 5.081E+01, 5.111E+01, 4.986E+01, 4.793E+01, 2.852E+01, 2.841E+01, 3.967E+01, 3.867E+01, 3.956E+01, 3.887E+01, 3.115E+01, 2.908E+01, 4.081E+01, 4.112E+01, 4.077E+01, 3.862E+01, 2.932E+01, 0.000E+00
 7.601E+01, 3.288E+01, 5.216E+01, 4.969E+01, 4.743E+01, 4.559E+01, 2.982E+01, 3.259E+01, 5.294E+01, 5.201E+01, 5.058E+01, 4.794E+01, 3.001E+01, 2.878E+01, 4.276E+01, 4.097E+01, 4.130E+01, 3.959E+01, 3.079E+01, 2.937E+01, 4.080E+01, 4.074E+01, 4.067E+01, 4.033E+01, 2.961E+01, 0.000E+00
