s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 0.000E+00, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 0.000E+00
 4.017E+00, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.101E+01, 2.101E+01, 2.101E+01, 2.101E+01, 2.101E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 0.000E+00
 8.008E+00, 2.100E+01, 2.100E+01, 2.100E+01, 2.101E+01, 2.101E+01, 2.102E+01, 2.216E+01, 5.088E+01, 3.630E+01, 2.381E+01, 2.448E+01, 2.200E+01, 2.105E+01, 2.535E+01, 2.381E+01, 2.113E+01, 2.101E+01, 2.102E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.101E+01, 2.101E+01, 2.101E+01, 0.000E+00
 1.201E+01, 2.100E+01, 2.100E+01, 2.101E+01, 2.102E+01, 2.104E+01, 2.105E+01, 2.571E+01, 7.423E+01, 6.580E+01, 4.812E+01, 2.450E+01, 2.145E+01, 2.226E+01, 4.711E+01, 4.410E+01, 2.948E+01, 2.113E+01, 2.103E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.101E+01, 2.102E+01, 2.102E+01, 0.000E+00
 1.601E+01, 2.119E+01, 3.108E+01, 2.950E+01, 2.649E+01, 2.120E+01, 2.110E+01, 3.050E+01, 8.411E+01, 7.099E+01, 4.621E+01, 2.450E+01, 2.194E+01, 2.446E+01, 5.848E+01, 5.658E+01, 4.240E+01, 2.639E+01, 2.338E+01, 2.100E+01, 2.100E+01, 2.101E+01, 2.158E+01, 2.103E+01, 2.103E+01, 0.000E+00
 2.001E+01, 2.185E+01, 3.891E+01, 3.746E+01, 3.576E+01, 2.198E+01, 2.115E+01, 3.648E+01, 9.483E+01, 8.103E+01, 6.128E+01, 2.443E+01, 2.156E+01, 2.749E+01, 7.005E+01, 7.006E+01, 5.806E+01, 4.083E+01, 2.692E+01, 2.124E+01, 3.397E+01, 3.492E+01, 3.398E+01, 2.889E+01, 2.184E+01, 0.000E+00
 2.401E+01, 2.262E+01, 4.481E+01, 4.427E+01, 3.589E+01, 2.342E+01, 2.120E+01, 4.356E+01, 1.180E+02, 9.988E+01, 7.087E+01, 3.417E+01, 3.062E+01, 3.114E+01, 8.076E+01, 7.749E+01, 6.857E+01, 5.045E+01, 3.441E+01, 2.205E+01, 4.224E+01, 4.234E+01, 4.367E+01, 4.426E+01, 3.375E+01, 0.000E+00
 2.801E+01, 2.363E+01, 5.047E+01, 5.090E+01, 4.866E+01, 4.216E+01, 2.846E+01, 5.154E+01, 1.234E+02, 1.008E+02, 6.837E+01, 4.472E+01, 3.006E+01, 3.588E+01, 9.658E+01, 9.462E+01, 8.299E+01, 5.445E+01, 2.939E+01, 2.305E+01, 4.673E+01, 4.854E+01, 5.158E+01, 4.794E+01, 2.950E+01, 0.000E+00
 3.201E+01, 2.498E+01, 6.200E+01, 6.071E+01, 5.852E+01, 4.771E+01, 4.194E+01, 5.930E+01, 1.306E+02, 1.060E+02, 7.464E+01, 4.955E+01, 3.082E+01, 4.102E+01, 1.049E+02, 1.027E+02, 8.966E+01, 7.546E+01, 3.553E+01, 2.399E+01, 4.978E+01, 4.977E+01, 5.149E+01, 5.836E+01, 4.454E+01, 0.000E+00
