s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 0.000E+00, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 0.000E+00
 4.013E+00, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 0.000E+00
 8.011E+00, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.101E+01, 2.102E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.101E+01, 2.102E+01, 2.100E+01, 2.102E+01, 2.103E+01, 2.103E+01, 2.104E+01, 2.104E+01, 2.100E+01, 2.102E+01, 2.102E+01, 2.103E+01, 2.104E+01, 2.104E+01, 0.000E+00
 1.201E+01, 2.101E+01, 2.272E+01, 2.342E+01, 2.476E+01, 2.131E+01, 2.104E+01, 2.100E+01, 2.124E+01, 2.238E+01, 2.508E+01, 2.132E+01, 2.104E+01, 2.100E+01, 2.106E+01, 2.106E+01, 2.110E+01, 2.109E+01, 2.108E+01, 2.100E+01, 2.192E+01, 2.133E+01, 2.276E+01, 2.116E+01, 2.108E+01, 0.000E+00
 1.601E+01, 2.131E+01, 3.255E+01, 3.058E+01, 2.655E+01, 2.168E+01, 2.107E+01, 2.125E+01, 3.116E+01, 2.844E+01, 2.743E+01, 2.179E+01, 2.107E+01, 2.131E+01, 3.700E+01, 3.094E+01, 2.649E+01, 2.195E+01, 2.114E+01, 2.168E+01, 4.674E+01, 4.094E+01, 3.208E+01, 2.406E+01, 2.113E+01, 0.000E+00
 2.000E+01, 2.200E+01, 4.166E+01, 3.994E+01, 3.740E+01, 3.429E+01, 2.238E+01, 2.180E+01, 3.723E+01, 3.760E+01, 3.563E+01, 2.505E+01, 2.112E+01, 2.297E+01, 4.937E+01, 4.037E+01, 2.667E+01, 2.146E+01, 2.118E+01, 2.342E+01, 5.650E+01, 3.979E+01, 2.342E+01, 2.124E+01, 2.118E+01, 0.000E+00
 2.400E+01, 2.312E+01, 4.746E+01, 4.757E+01, 4.340E+01, 3.078E+01, 2.208E+01, 2.270E+01, 4.221E+01, 4.444E+01, 4.225E+01, 3.336E+01, 2.275E+01, 2.454E+01, 5.352E+01, 4.548E+01, 2.918E+01, 2.232E+01, 2.144E+01, 2.532E+01, 4.913E+01, 3.972E+01, 3.044E+01, 2.542E+01, 2.247E+01, 0.000E+00
 2.800E+01, 2.436E+01, 5.432E+01, 5.322E+01, 4.563E+01, 4.263E+01, 3.382E+01, 2.377E+01, 5.090E+01, 4.991E+01, 4.598E+01, 4.165E+01, 3.281E+01, 2.665E+01, 5.627E+01, 4.738E+01, 3.967E+01, 3.309E+01, 3.111E+01, 2.621E+01, 4.783E+01, 4.403E+01, 3.705E+01, 3.375E+01, 3.126E+01, 0.000E+00
 3.201E+01, 2.580E+01, 6.073E+01, 5.934E+01, 5.324E+01, 3.821E+01, 2.878E+01, 2.583E+01, 6.896E+01, 6.490E+01, 5.234E+01, 4.333E+01, 3.500E+01, 2.857E+01, 6.742E+01, 5.413E+01, 4.803E+01, 3.794E+01, 3.370E+01, 2.727E+01, 4.858E+01, 4.332E+01, 3.968E+01, 3.749E+01, 3.289E+01, 0.000E+00
