s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 0.000E+00, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 0.000E+00
 4.011E+00, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.501E+01, 2.501E+01, 2.501E+01, 2.501E+01, 2.501E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 0.000E+00
 8.009E+00, 2.500E+01, 2.500E+01, 2.500E+01, 2.501E+01, 2.502E+01, 2.502E+01, 2.594E+01, 5.069E+01, 3.672E+01, 2.524E+01, 2.506E+01, 2.507E+01, 2.505E+01, 2.931E+01, 2.754E+01, 2.504E+01, 2.501E+01, 2.502E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.501E+01, 2.501E+01, 2.501E+01, 0.000E+00
 1.200E+01, 2.541E+01, 4.019E+01, 3.746E+01, 3.411E+01, 2.539E+01, 2.505E+01, 2.923E+01, 7.499E+01, 6.071E+01, 3.360E+01, 2.513E+01, 2.514E+01, 2.595E+01, 4.486E+01, 3.593E+01, 2.551E+01, 2.503E+01, 2.505E+01, 2.501E+01, 2.688E+01, 2.674E+01, 2.575E+01, 2.502E+01, 2.502E+01, 0.000E+00
 1.601E+01, 2.718E+01, 5.425E+01, 4.938E+01, 3.196E+01, 2.513E+01, 2.510E+01, 3.436E+01, 8.721E+01, 6.963E+01, 3.025E+01, 2.522E+01, 2.523E+01, 2.750E+01, 5.057E+01, 4.107E+01, 2.880E+01, 2.518E+01, 2.509E+01, 2.586E+01, 4.546E+01, 4.205E+01, 3.431E+01, 2.712E+01, 2.507E+01, 0.000E+00
 2.001E+01, 2.938E+01, 5.593E+01, 4.747E+01, 3.759E+01, 2.854E+01, 2.524E+01, 3.979E+01, 9.462E+01, 7.108E+01, 3.649E+01, 2.532E+01, 2.534E+01, 3.004E+01, 6.485E+01, 5.468E+01, 3.675E+01, 2.981E+01, 2.514E+01, 2.756E+01, 5.572E+01, 5.246E+01, 4.186E+01, 3.652E+01, 3.243E+01, 0.000E+00
 2.400E+01, 3.183E+01, 6.276E+01, 5.940E+01, 4.982E+01, 3.723E+01, 2.703E+01, 4.575E+01, 1.012E+02, 7.822E+01, 3.591E+01, 2.544E+01, 2.544E+01, 3.310E+01, 6.949E+01, 6.657E+01, 4.567E+01, 2.695E+01, 2.522E+01, 2.977E+01, 6.133E+01, 5.556E+01, 4.652E+01, 4.135E+01, 3.959E+01, 0.000E+00
 2.800E+01, 3.423E+01, 6.802E+01, 6.393E+01, 5.657E+01, 5.100E+01, 4.057E+01, 5.160E+01, 1.088E+02, 8.871E+01, 4.641E+01, 3.599E+01, 3.167E+01, 3.636E+01, 8.162E+01, 7.631E+01, 5.750E+01, 3.523E+01, 2.533E+01, 3.195E+01, 6.456E+01, 6.249E+01, 5.719E+01, 4.589E+01, 4.475E+01, 0.000E+00
 3.201E+01, 3.727E+01, 7.605E+01, 7.196E+01, 6.150E+01, 5.161E+01, 4.648E+01, 5.828E+01, 1.231E+02, 1.034E+02, 6.087E+01, 4.064E+01, 3.608E+01, 4.071E+01, 9.272E+01, 8.803E+01, 7.369E+01, 4.693E+01, 3.391E+01, 3.421E+01, 6.778E+01, 6.665E+01, 6.035E+01, 5.343E+01, 4.712E+01, 0.000E+00
