m,C,C,C,C,C,C,C,C
x,T1,T2,T3,T4,T5,T6,T7,T8
 4.9999000E+000, 2.0000452E+001, 2.0001250E+001, 2.0002179E+001, 2.0003440E+001, 2.0004803E+001, 2.0006585E+001, 2.0008749E+001, 2.0010921E+001
 5.0100503E+000, 2.0000509E+001, 2.0001410E+001, 2.0002460E+001, 2.0003881E+001, 2.0005387E+001, 2.0007382E+001, 2.0009811E+001, 2.0012232E+001
 5.0201005E+000, 2.0000541E+001, 2.0001496E+001, 2.0002612E+001, 2.0004120E+001, 2.0005703E+001, 2.0007813E+001, 2.0010388E+001, 2.0012940E+001
 5.0301508E+000, 2.0000573E+001, 2.0001587E+001, 2.0002773E+001, 2.0004374E+001, 2.0006036E+001, 2.0008263E+001, 2.0010994E+001, 2.0013685E+001
 5.0402010E+000, 2.0000608E+001, 2.0001682E+001, 2.0002943E+001, 2.0004641E+001, 2.0006389E+001, 2.0008738E+001, 2.0011636E+001, 2.0014467E+001
 5.0502513E+000, 2.0000644E+001, 2.0001782E+001, 2.0003122E+001, 2.0004925E+001, 2.0006759E+001, 2.0009235E+001, 2.0012309E+001, 2.0015288E+001
 5.0603015E+000, 2.0000682E+001, 2.0001887E+001, 2.0003310E+001, 2.0005222E+001, 2.0007151E+001, 2.0009758E+001, 2.0013022E+001, 2.0016152E+001
 5.0703518E+000, 2.0000722E+001, 2.0001998E+001, 2.0003507E+001, 2.0005538E+001, 2.0007562E+001, 2.0010309E+001, 2.0013768E+001, 2.0017058E+001
 5.0804020E+000, 2.0000764E+001, 2.0002113E+001, 2.0003715E+001, 2.0005868E+001, 2.0007995E+001, 2.0010890E+001, 2.0014557E+001, 2.0018012E+001
 5.0904523E+000, 2.0000807E+001, 2.0002234E+001, 2.0003933E+001, 2.0006219E+001, 2.0008451E+001, 2.0011500E+001, 2.0015384E+001, 2.0019016E+001
 5.1005025E+000, 2.0000853E+001, 2.0002360E+001, 2.0004161E+001, 2.0006585E+001, 2.0008931E+001, 2.0012142E+001, 2.0016258E+001, 2.0020068E+001
 5.1105528E+000, 2.0000900E+001, 2.0002492E+001, 2.0004401E+001, 2.0006974E+001, 2.0009434E+001, 2.0012816E+001, 2.0017173E+001, 2.0021173E+001
 5.1206030E+000, 2.0000949E+001, 2.0002629E+001, 2.0004651E+001, 2.0007380E+001, 2.0009966E+001, 2.0013519E+001, 2.0018139E+001, 2.0022330E+001
